step,rs_random,rs_greedy
0,64512,64512
1,1600,768
2,864,192
3,400,192
4,200,192
5,200,184
6,200,184
7,200,184
8,184,184
9,184,184
10,200,184
11,200,184
12,200,184
13,200,184
14,200,184
15,200,184
16,200,184
17,184,184
18,184,184
19,184,184
20,184,184
21,184,184
22,184,184
23,184,184
24,184,184
25,184,184
26,184,184
27,184,184
28,184,184
29,184,184
30,184,184
31,184,184
32,184,184
33,184,184
34,184,184
35,184,184
36,184,184
37,192,184
38,192,184
39,192,184
40,192,184
41,192,184
42,192,184
43,192,184
44,192,184
45,192,184
46,192,184
47,192,184
48,192,184
49,192,184
50,192,184
