step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,0,0,1;0,1,0,1","1,0,0,0;0,1,0,0"
2,"1,1,0,0;1,0,1,1","0,0,0,0;1,0,0,1"
3,"1,0,0,1;1,1,1,0","1,0,1,1;0,0,0,0"
4,"0,0,1,0;1,1,0,1","0,0,1,1;1,1,1,0"
5,"0,0,1,1;1,1,1,0","0,1,1,1;1,0,0,0"
6,"0,1,1,1;1,0,0,0","1,1,0,0;1,0,1,1"
7,"1,1,1,1;0,1,1,0","1,0,1,0;1,1,0,1"
8,"1,0,1,0;1,1,0,1","1,1,1,1;0,1,1,0"
9,"0,0,0,0;1,0,0,1","1,0,0,1;1,1,1,0"
10,"1,0,1,1;0,0,0,0","0,0,0,1;0,1,0,1"
11,"0,1,0,1;0,0,0,1","0,0,1,0;1,1,0,1"
12,"1,0,0,0;0,1,0,0","0,1,0,1;0,0,0,1"
