step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,176,"0,1,0,0;1,0,1,0;1,1,0,1",160,"0,1,0,0;1,0,1,0;1,1,0,1"
2,139,"1,0,0,1",60,"1,0,0,0;1,1,1,1"
3,109,"0,0,0,0",0,"1,1,1,0"
4,33,"0,1,0,1",1,"1,1,1,0"
5,134,"1,0,0,1",20,"0,1,0,1"
6,71,"1,0,0,0;1,1,1,1",2,"1,1,1,0"
7,72,"1,0,0,0;1,1,1,1",3,"1,1,1,0"
8,22,"0,1,0,1",4,"1,1,1,0"
9,140,"0,1,1,1",5,"1,1,1,0"
10,2,"1,1,1,0",6,"1,1,1,0"
11,100,"0,0,0,0",7,"1,1,1,0"
12,76,"1,0,0,0;1,1,1,1",21,"0,1,0,1"
13,119,"0,0,0,0",8,"1,1,1,0"
14,175,"0,1,0,0;1,0,1,0;1,1,0,1",9,"1,1,1,0"
15,98,"1,1,0,0",10,"1,1,1,0"
16,97,"1,1,0,0",11,"1,1,1,0"
17,168,"0,1,0,0;1,0,1,0;1,1,0,1",12,"1,1,1,0"
18,148,"0,1,1,1",22,"0,1,0,1"
19,163,"0,1,0,0;1,0,1,0;1,1,0,1",13,"1,1,1,0"
20,46,"0,0,1,0;0,0,1,1;1,0,1,1",14,"1,1,1,0"
21,34,"0,1,0,1",15,"1,1,1,0"
22,54,"0,0,1,0;0,0,1,1;1,0,1,1",16,"1,1,1,0"
23,94,"1,1,0,0",17,"1,1,1,0"
24,121,"1,0,0,1",23,"0,1,0,1"
25,193,"0,0,0,1;0,1,1,0",18,"1,1,1,0"
26,70,"1,0,0,0;1,1,1,1",19,"1,1,1,0"
27,7,"1,1,1,0",24,"0,1,0,1"
28,171,"0,1,0,0;1,0,1,0;1,1,0,1",25,"0,1,0,1"
29,152,"0,1,1,1",26,"0,1,0,1"
30,90,"1,1,0,0",27,"0,1,0,1"
