step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,7,"0,1,0,0;0,1,1,0;1,1,1,0",12,"0,0,1,1;0,1,1,1;1,0,1,1"
2,6,"0,1,0,0;0,1,1,0;1,1,1,0",15,"0,0,0,0;0,0,1,0;1,0,0,0"
3,9,"1,0,0,1;1,1,0,1;1,1,1,1",13,"0,0,1,1;0,1,1,1;1,0,1,1"
4,11,"1,0,0,1;1,1,0,1;1,1,1,1",0,"0,0,0,1;0,1,0,1;1,0,1,0"
5,12,"0,0,1,1;0,1,1,1;1,0,1,1",1,"0,0,0,1;0,1,0,1;1,0,1,0"
6,3,"1,1,0,0",2,"0,0,0,1;0,1,0,1;1,0,1,0"
7,0,"0,0,0,1;0,1,0,1;1,0,1,0",3,"1,1,0,0"
8,14,"0,0,1,1;0,1,1,1;1,0,1,1",4,"1,1,0,0"
9,1,"0,0,0,1;0,1,0,1;1,0,1,0",5,"1,1,0,0"
10,16,"0,0,0,0;0,0,1,0;1,0,0,0",6,"0,1,0,0;0,1,1,0;1,1,1,0"
