step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,426,"0,0,0,1;0,1,0,1;1,1,0,0",400,"0,0,0,1;0,1,0,1;1,1,0,0"
2,173,"1,0,1,0",300,"0,1,0,0;0,1,1,1"
3,425,"0,0,0,1;0,1,0,1;1,1,0,0",0,"1,1,1,0"
4,183,"1,0,1,0",100,"1,0,0,0;1,1,0,1"
5,246,"0,0,1,1",1,"1,1,1,0"
6,373,"0,1,1,0;1,1,1,1",2,"1,1,1,0"
7,400,"0,0,0,1;0,1,0,1;1,1,0,0",3,"1,1,1,0"
8,460,"1,0,1,1",4,"1,1,1,0"
9,393,"0,1,1,0;1,1,1,1",5,"1,1,1,0"
10,126,"1,0,0,0;1,1,0,1",6,"1,1,1,0"
11,385,"0,1,1,0;1,1,1,1",7,"1,1,1,0"
12,179,"1,0,1,0",8,"1,1,1,0"
13,147,"1,0,0,0;1,1,0,1",9,"1,1,1,0"
14,36,"1,1,1,0",10,"1,1,1,0"
15,142,"1,0,0,0;1,1,0,1",11,"1,1,1,0"
16,231,"0,0,1,1",50,"0,0,1,0"
17,347,"0,1,0,0;0,1,1,1",51,"0,0,1,0"
18,424,"0,0,0,1;0,1,0,1;1,1,0,0",101,"1,0,0,0;1,1,0,1"
19,404,"0,0,0,1;0,1,0,1;1,1,0,0",12,"1,1,1,0"
20,324,"0,1,0,0;0,1,1,1",13,"1,1,1,0"
21,436,"0,0,0,1;0,1,0,1;1,1,0,0",14,"1,1,1,0"
22,475,"1,0,1,1",15,"1,1,1,0"
23,367,"0,1,1,0;1,1,1,1",102,"1,0,0,0;1,1,0,1"
24,416,"0,0,0,1;0,1,0,1;1,1,0,0",16,"1,1,1,0"
25,93,"0,0,1,0",17,"1,1,1,0"
26,80,"0,0,1,0",18,"1,1,1,0"
27,340,"0,1,0,0;0,1,1,1",19,"1,1,1,0"
28,307,"0,1,0,0;0,1,1,1",103,"1,0,0,0;1,1,0,1"
29,330,"0,1,0,0;0,1,1,1",20,"1,1,1,0"
30,199,"1,0,1,0",21,"1,1,1,0"
31,487,"1,0,1,1",22,"1,1,1,0"
32,472,"1,0,1,1",23,"1,1,1,0"
33,206,"0,0,1,1",24,"1,1,1,0"
34,215,"0,0,1,1",104,"1,0,0,0;1,1,0,1"
35,274,"0,0,0,0;1,0,0,1",25,"1,1,1,0"
36,334,"0,1,0,0;0,1,1,1",26,"1,1,1,0"
37,332,"0,1,0,0;0,1,1,1",27,"1,1,1,0"
38,302,"0,1,0,0;0,1,1,1",52,"0,0,1,0"
39,208,"0,0,1,1",105,"1,0,0,0;1,1,0,1"
40,174,"1,0,1,0",28,"1,1,1,0"
41,407,"0,0,0,1;0,1,0,1;1,1,0,0",29,"1,1,1,0"
42,358,"0,1,1,0;1,1,1,1",30,"1,1,1,0"
43,167,"1,0,1,0",53,"0,0,1,0"
44,360,"0,1,1,0;1,1,1,1",106,"1,0,0,0;1,1,0,1"
45,429,"0,0,0,1;0,1,0,1;1,1,0,0",31,"1,1,1,0"
46,252,"0,0,0,0;1,0,0,1",32,"1,1,1,0"
47,295,"0,0,0,0;1,0,0,1",33,"1,1,1,0"
48,474,"1,0,1,1",54,"0,0,1,0"
49,346,"0,1,0,0;0,1,1,1",107,"1,0,0,0;1,1,0,1"
50,191,"1,0,1,0",34,"1,1,1,0"
