step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,276,"0,1,1,1;1,0,1,0;1,1,1,1",300,"0,0,1,0;0,0,1,1;1,1,0,1"
2,420,"0,0,0,0",200,"0,0,0,1;0,1,1,0"
3,241,"0,0,0,1;0,1,1,0",0,"1,1,0,0"
4,173,"0,1,0,0;0,1,0,1",1,"1,1,0,0"
5,59,"1,0,0,1;1,0,1,1",150,"0,1,0,0;0,1,0,1"
6,391,"1,0,0,0",100,"1,1,1,0"
7,97,"1,0,0,1;1,0,1,1",2,"1,1,0,0"
8,85,"1,0,0,1;1,0,1,1",3,"1,1,0,0"
9,394,"1,0,0,0",4,"1,1,0,0"
10,244,"0,0,0,1;0,1,1,0",5,"1,1,0,0"
11,123,"1,1,1,0",6,"1,1,0,0"
12,155,"0,1,0,0;0,1,0,1",7,"1,1,0,0"
13,320,"0,0,1,0;0,0,1,1;1,1,0,1",8,"1,1,0,0"
14,418,"0,0,0,0",9,"1,1,0,0"
15,201,"0,0,0,1;0,1,1,0",10,"1,1,0,0"
16,206,"0,0,0,1;0,1,1,0",151,"0,1,0,0;0,1,0,1"
17,68,"1,0,0,1;1,0,1,1",11,"1,1,0,0"
18,236,"0,0,0,1;0,1,1,0",12,"1,1,0,0"
19,113,"1,1,1,0",13,"1,1,0,0"
20,258,"0,1,1,1;1,0,1,0;1,1,1,1",14,"1,1,0,0"
21,104,"1,1,1,0",15,"1,1,0,0"
22,57,"1,0,0,1;1,0,1,1",16,"1,1,0,0"
23,273,"0,1,1,1;1,0,1,0;1,1,1,1",50,"1,0,0,1;1,0,1,1"
24,14,"1,1,0,0",17,"1,1,0,0"
25,129,"1,1,1,0",18,"1,1,0,0"
26,380,"1,0,0,0",19,"1,1,0,0"
27,446,"0,0,0,0",20,"1,1,0,0"
28,370,"1,0,0,0",21,"1,1,0,0"
29,227,"0,0,0,1;0,1,1,0",22,"1,1,0,0"
30,361,"1,0,0,0",23,"1,1,0,0"
31,102,"1,1,1,0",24,"1,1,0,0"
32,353,"1,0,0,0",25,"1,1,0,0"
33,309,"0,0,1,0;0,0,1,1;1,1,0,1",26,"1,1,0,0"
34,434,"0,0,0,0",101,"1,1,1,0"
35,76,"1,0,0,1;1,0,1,1",51,"1,0,0,1;1,0,1,1"
36,204,"0,0,0,1;0,1,1,0",27,"1,1,0,0"
37,77,"1,0,0,1;1,0,1,1",28,"1,1,0,0"
38,358,"1,0,0,0",29,"1,1,0,0"
39,93,"1,0,0,1;1,0,1,1",30,"1,1,0,0"
40,413,"0,0,0,0",102,"1,1,1,0"
41,266,"0,1,1,1;1,0,1,0;1,1,1,1",152,"0,1,0,0;0,1,0,1"
42,159,"0,1,0,0;0,1,0,1",31,"1,1,0,0"
43,130,"1,1,1,0",32,"1,1,0,0"
44,362,"1,0,0,0",33,"1,1,0,0"
45,51,"1,0,0,1;1,0,1,1",34,"1,1,0,0"
46,19,"1,1,0,0",35,"1,1,0,0"
47,105,"1,1,1,0",36,"1,1,0,0"
48,318,"0,0,1,0;0,0,1,1;1,1,0,1",37,"1,1,0,0"
49,1,"1,1,0,0",38,"1,1,0,0"
50,70,"1,0,0,1;1,0,1,1",103,"1,1,1,0"
