step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,1,1,1;0,0,1,0","1,1,1,0;1,1,0,1"
2,"1,1,1,0;1,1,0,1","1,1,0,0;0,0,1,1"
3,"1,1,0,1;1,0,0,1","1,0,0,0;1,1,1,1"
4,"0,1,0,1;1,0,1,0","1,1,0,1;1,0,0,1"
5,"1,0,0,0;1,1,1,1","1,0,1,1;0,1,0,1"
6,"0,0,0,0;1,1,1,0","0,1,0,1;1,0,1,0"
7,"1,1,0,0;0,0,1,1","0,1,1,1;0,0,1,0"
8,"0,1,0,0;1,0,0,1","0,1,0,0;1,0,0,1"
9,"1,0,1,1;0,1,0,1","0,0,0,0;1,1,1,0"
10,"0,0,0,0;1,0,1,1","0,1,1,0;1,0,0,0"
11,"0,1,1,0;1,0,0,0","0,0,0,0;1,0,1,1"
12,"0,0,0,1;0,0,0,1","0,0,0,1;0,0,0,1"
