step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,131,"0,0,1,1;0,1,0,1;1,0,0,1",0,"0,1,0,0;0,1,1,0;1,0,1,0"
2,381,"0,0,0,0;1,0,1,1",100,"0,0,1,1;0,1,0,1;1,0,0,1"
3,32,"0,1,0,0;0,1,1,0;1,0,1,0",1,"0,1,0,0;0,1,1,0;1,0,1,0"
4,96,"1,1,0,0;1,1,1,0;1,1,1,1",50,"1,1,0,0;1,1,1,0;1,1,1,1"
5,216,"1,1,0,1",51,"1,1,0,0;1,1,1,0;1,1,1,1"
6,166,"0,0,1,0",2,"0,1,0,0;0,1,1,0;1,0,1,0"
7,69,"1,1,0,0;1,1,1,0;1,1,1,1",52,"1,1,0,0;1,1,1,0;1,1,1,1"
8,384,"0,0,0,0;1,0,1,1",3,"0,1,0,0;0,1,1,0;1,0,1,0"
9,123,"0,0,1,1;0,1,0,1;1,0,0,1",53,"1,1,0,0;1,1,1,0;1,1,1,1"
10,15,"0,1,0,0;0,1,1,0;1,0,1,0",4,"0,1,0,0;0,1,1,0;1,0,1,0"
11,67,"1,1,0,0;1,1,1,0;1,1,1,1",54,"1,1,0,0;1,1,1,0;1,1,1,1"
12,318,"0,0,0,1;0,1,1,1",5,"0,1,0,0;0,1,1,0;1,0,1,0"
13,59,"1,1,0,0;1,1,1,0;1,1,1,1",55,"1,1,0,0;1,1,1,0;1,1,1,1"
14,387,"0,0,0,0;1,0,1,1",6,"0,1,0,0;0,1,1,0;1,0,1,0"
15,225,"1,1,0,1",56,"1,1,0,0;1,1,1,0;1,1,1,1"
16,313,"0,0,0,1;0,1,1,1",7,"0,1,0,0;0,1,1,0;1,0,1,0"
17,275,"1,0,0,0",57,"1,1,0,0;1,1,1,0;1,1,1,1"
18,190,"0,0,1,0",8,"0,1,0,0;0,1,1,0;1,0,1,0"
19,398,"0,0,0,0;1,0,1,1",58,"1,1,0,0;1,1,1,0;1,1,1,1"
20,25,"0,1,0,0;0,1,1,0;1,0,1,0",9,"0,1,0,0;0,1,1,0;1,0,1,0"
21,282,"1,0,0,0",59,"1,1,0,0;1,1,1,0;1,1,1,1"
22,18,"0,1,0,0;0,1,1,0;1,0,1,0",10,"0,1,0,0;0,1,1,0;1,0,1,0"
23,208,"1,1,0,1",60,"1,1,0,0;1,1,1,0;1,1,1,1"
24,118,"0,0,1,1;0,1,0,1;1,0,0,1",11,"0,1,0,0;0,1,1,0;1,0,1,0"
25,137,"0,0,1,1;0,1,0,1;1,0,0,1",61,"1,1,0,0;1,1,1,0;1,1,1,1"
26,171,"0,0,1,0",12,"0,1,0,0;0,1,1,0;1,0,1,0"
27,334,"0,0,0,1;0,1,1,1",62,"1,1,0,0;1,1,1,0;1,1,1,1"
28,290,"1,0,0,0",13,"0,1,0,0;0,1,1,0;1,0,1,0"
29,40,"0,1,0,0;0,1,1,0;1,0,1,0",63,"1,1,0,0;1,1,1,0;1,1,1,1"
30,309,"0,0,0,1;0,1,1,1",14,"0,1,0,0;0,1,1,0;1,0,1,0"
31,94,"1,1,0,0;1,1,1,0;1,1,1,1",64,"1,1,0,0;1,1,1,0;1,1,1,1"
32,202,"1,1,0,1",15,"0,1,0,0;0,1,1,0;1,0,1,0"
33,207,"1,1,0,1",65,"1,1,0,0;1,1,1,0;1,1,1,1"
34,229,"1,1,0,1",16,"0,1,0,0;0,1,1,0;1,0,1,0"
35,6,"0,1,0,0;0,1,1,0;1,0,1,0",66,"1,1,0,0;1,1,1,0;1,1,1,1"
36,399,"0,0,0,0;1,0,1,1",17,"0,1,0,0;0,1,1,0;1,0,1,0"
37,48,"0,1,0,0;0,1,1,0;1,0,1,0",67,"1,1,0,0;1,1,1,0;1,1,1,1"
38,12,"0,1,0,0;0,1,1,0;1,0,1,0",18,"0,1,0,0;0,1,1,0;1,0,1,0"
39,258,"1,0,0,0",68,"1,1,0,0;1,1,1,0;1,1,1,1"
40,153,"0,0,1,0",19,"0,1,0,0;0,1,1,0;1,0,1,0"
41,57,"1,1,0,0;1,1,1,0;1,1,1,1",69,"1,1,0,0;1,1,1,0;1,1,1,1"
42,89,"1,1,0,0;1,1,1,0;1,1,1,1",20,"0,1,0,0;0,1,1,0;1,0,1,0"
43,232,"1,1,0,1",70,"1,1,0,0;1,1,1,0;1,1,1,1"
44,286,"1,0,0,0",21,"0,1,0,0;0,1,1,0;1,0,1,0"
45,358,"0,0,0,0;1,0,1,1",71,"1,1,0,0;1,1,1,0;1,1,1,1"
46,50,"1,1,0,0;1,1,1,0;1,1,1,1",22,"0,1,0,0;0,1,1,0;1,0,1,0"
47,65,"1,1,0,0;1,1,1,0;1,1,1,1",72,"1,1,0,0;1,1,1,0;1,1,1,1"
48,278,"1,0,0,0",23,"0,1,0,0;0,1,1,0;1,0,1,0"
49,176,"0,0,1,0",73,"1,1,0,0;1,1,1,0;1,1,1,1"
50,267,"1,0,0,0",24,"0,1,0,0;0,1,1,0;1,0,1,0"
