step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,25,"1,1,1,1",6,"0,1,0,1;1,0,0,0;1,0,0,1"
2,5,"0,0,1,1;0,1,1,0",21,"0,0,0,0;1,1,1,0"
3,0,"0,1,1,1;1,0,1,1;1,1,0,1",7,"0,1,0,1;1,0,0,0;1,0,0,1"
4,11,"0,1,0,0;1,1,0,0",0,"0,1,1,1;1,0,1,1;1,1,0,1"
5,7,"0,1,0,1;1,0,0,0;1,0,0,1",18,"1,0,1,0"
6,20,"1,0,1,0",1,"0,1,1,1;1,0,1,1;1,1,0,1"
7,26,"1,1,1,1",8,"0,1,0,1;1,0,0,0;1,0,0,1"
8,13,"0,0,0,1",15,"0,0,1,0"
9,8,"0,1,0,1;1,0,0,0;1,0,0,1",16,"0,0,1,0"
10,21,"0,0,0,0;1,1,1,0",3,"0,0,1,1;0,1,1,0"
