step,rs_random,rs_greedy
0,64512,64512
1,768,768
2,768,184
3,184,184
4,184,184
5,184,184
6,184,184
7,184,184
8,184,184
9,184,184
10,184,184
11,184,184
12,200,184
13,200,184
14,200,184
15,200,184
16,200,184
17,200,184
18,200,184
19,200,184
20,200,184
21,200,184
22,200,184
23,200,184
24,200,184
25,200,184
26,200,184
27,200,184
28,200,184
29,200,184
30,200,184
31,200,184
32,200,184
33,200,184
34,200,184
35,200,184
36,200,184
37,200,184
38,200,184
39,200,184
40,200,184
41,200,184
42,200,184
43,200,184
44,200,184
45,200,184
46,200,184
47,200,184
48,200,184
49,200,184
50,200,184
