step,rs_random,rs_greedy
0,64512,64512
1,768,672
2,200,200
3,200,184
4,192,184
5,192,184
6,192,184
7,192,184
8,192,184
9,192,184
10,192,184
11,192,184
12,192,184
13,192,184
14,192,184
15,192,184
16,192,184
17,192,184
18,192,184
19,192,184
20,192,184
21,184,184
22,192,184
23,184,184
24,184,184
25,184,184
26,184,184
27,184,184
28,184,184
29,184,184
30,184,184
31,184,184
32,184,184
33,184,184
34,184,184
35,184,184
36,184,184
37,184,184
38,184,184
39,184,184
40,192,184
41,200,184
42,192,184
43,184,184
44,184,184
45,184,184
46,184,184
47,184,184
48,184,184
49,184,184
50,192,184
