step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,11,"0,0,1,0",0,"0,1,0,0;0,1,1,0;1,0,1,0"
2,3,"1,1,0,0;1,1,1,0;1,1,1,1",6,"0,0,1,1;0,1,0,1;1,0,0,1"
3,0,"0,1,0,0;0,1,1,0;1,0,1,0",1,"0,1,0,0;0,1,1,0;1,0,1,0"
4,5,"1,1,0,0;1,1,1,0;1,1,1,1",3,"1,1,0,0;1,1,1,0;1,1,1,1"
5,7,"0,0,1,1;0,1,0,1;1,0,0,1",4,"1,1,0,0;1,1,1,0;1,1,1,1"
6,20,"0,0,0,1;0,1,1,1",2,"0,1,0,0;0,1,1,0;1,0,1,0"
7,2,"0,1,0,0;0,1,1,0;1,0,1,0",5,"1,1,0,0;1,1,1,0;1,1,1,1"
8,21,"0,0,0,0;1,0,1,1",7,"0,0,1,1;0,1,0,1;1,0,0,1"
9,10,"0,0,1,0",8,"0,0,1,1;0,1,0,1;1,0,0,1"
10,16,"1,0,0,0",9,"0,0,1,0"
