step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"1,1,0,0;1,0,0,0","1,0,0,0;0,0,0,0"
2,"1,0,1,1;1,0,0,1","1,1,1,1;0,0,0,1"
3,"1,0,1,0;0,0,1,1","1,0,1,0;0,0,1,1"
4,"1,1,0,1;1,0,1,1","1,1,1,0;1,0,0,1"
5,"0,1,1,1;0,1,1,0","1,0,1,1;1,0,0,1"
6,"0,0,1,0;0,0,0,1","0,1,0,1;0,1,0,1"
7,"1,1,1,0;1,0,0,1","0,0,1,0;0,0,0,1"
8,"1,0,0,0;0,0,0,0","0,1,1,1;0,1,1,0"
9,"1,1,1,1;0,0,0,1","0,0,0,0;1,1,1,0"
10,"1,1,0,1;0,1,0,0","1,1,0,0;1,0,0,0"
11,"0,1,0,1;0,1,0,1","1,1,0,1;1,0,1,1"
12,"0,0,0,0;1,1,1,0","1,1,0,1;0,1,0,0"
