step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,0,"0,1,1,0;1,0,1,1;1,1,0,1",50,"0,0,0,0;1,1,0,0;1,1,1,0"
2,52,"0,0,0,0;1,1,0,0;1,1,1,0",0,"0,1,1,0;1,0,1,1;1,1,0,1"
3,292,"0,0,1,0;0,1,0,1",1,"0,1,1,0;1,0,1,1;1,1,0,1"
4,210,"0,1,1,1;1,0,1,0;1,1,1,1",2,"0,1,1,0;1,0,1,1;1,1,0,1"
5,239,"0,1,1,1;1,0,1,0;1,1,1,1",3,"0,1,1,0;1,0,1,1;1,1,0,1"
6,159,"0,0,0,1;0,0,1,1",4,"0,1,1,0;1,0,1,1;1,1,0,1"
7,7,"0,1,1,0;1,0,1,1;1,1,0,1",5,"0,1,1,0;1,0,1,1;1,1,0,1"
8,219,"0,1,1,1;1,0,1,0;1,1,1,1",6,"0,1,1,0;1,0,1,1;1,1,0,1"
9,225,"0,1,1,1;1,0,1,0;1,1,1,1",7,"0,1,1,0;1,0,1,1;1,1,0,1"
10,293,"0,0,1,0;0,1,0,1",8,"0,1,1,0;1,0,1,1;1,1,0,1"
11,238,"0,1,1,1;1,0,1,0;1,1,1,1",9,"0,1,1,0;1,0,1,1;1,1,0,1"
12,107,"0,1,0,0;1,0,0,0;1,0,0,1",10,"0,1,1,0;1,0,1,1;1,1,0,1"
13,147,"0,1,0,0;1,0,0,0;1,0,0,1",11,"0,1,1,0;1,0,1,1;1,1,0,1"
14,32,"0,1,1,0;1,0,1,1;1,1,0,1",12,"0,1,1,0;1,0,1,1;1,1,0,1"
15,70,"0,0,0,0;1,1,0,0;1,1,1,0",13,"0,1,1,0;1,0,1,1;1,1,0,1"
16,20,"0,1,1,0;1,0,1,1;1,1,0,1",14,"0,1,1,0;1,0,1,1;1,1,0,1"
17,21,"0,1,1,0;1,0,1,1;1,1,0,1",15,"0,1,1,0;1,0,1,1;1,1,0,1"
18,249,"0,1,1,1;1,0,1,0;1,1,1,1",16,"0,1,1,0;1,0,1,1;1,1,0,1"
19,25,"0,1,1,0;1,0,1,1;1,1,0,1",17,"0,1,1,0;1,0,1,1;1,1,0,1"
20,100,"0,1,0,0;1,0,0,0;1,0,0,1",18,"0,1,1,0;1,0,1,1;1,1,0,1"
21,128,"0,1,0,0;1,0,0,0;1,0,0,1",19,"0,1,1,0;1,0,1,1;1,1,0,1"
22,175,"0,0,0,1;0,0,1,1",20,"0,1,1,0;1,0,1,1;1,1,0,1"
23,138,"0,1,0,0;1,0,0,0;1,0,0,1",21,"0,1,1,0;1,0,1,1;1,1,0,1"
24,192,"0,0,0,1;0,0,1,1",22,"0,1,1,0;1,0,1,1;1,1,0,1"
25,54,"0,0,0,0;1,1,0,0;1,1,1,0",23,"0,1,1,0;1,0,1,1;1,1,0,1"
26,297,"0,0,1,0;0,1,0,1",24,"0,1,1,0;1,0,1,1;1,1,0,1"
27,27,"0,1,1,0;1,0,1,1;1,1,0,1",25,"0,1,1,0;1,0,1,1;1,1,0,1"
28,63,"0,0,0,0;1,1,0,0;1,1,1,0",26,"0,1,1,0;1,0,1,1;1,1,0,1"
29,14,"0,1,1,0;1,0,1,1;1,1,0,1",27,"0,1,1,0;1,0,1,1;1,1,0,1"
30,172,"0,0,0,1;0,0,1,1",28,"0,1,1,0;1,0,1,1;1,1,0,1"
31,29,"0,1,1,0;1,0,1,1;1,1,0,1",29,"0,1,1,0;1,0,1,1;1,1,0,1"
32,148,"0,1,0,0;1,0,0,0;1,0,0,1",30,"0,1,1,0;1,0,1,1;1,1,0,1"
33,213,"0,1,1,1;1,0,1,0;1,1,1,1",31,"0,1,1,0;1,0,1,1;1,1,0,1"
34,169,"0,0,0,1;0,0,1,1",32,"0,1,1,0;1,0,1,1;1,1,0,1"
35,61,"0,0,0,0;1,1,0,0;1,1,1,0",33,"0,1,1,0;1,0,1,1;1,1,0,1"
36,81,"0,0,0,0;1,1,0,0;1,1,1,0",34,"0,1,1,0;1,0,1,1;1,1,0,1"
37,253,"0,0,1,0;0,1,0,1",35,"0,1,1,0;1,0,1,1;1,1,0,1"
38,18,"0,1,1,0;1,0,1,1;1,1,0,1",36,"0,1,1,0;1,0,1,1;1,1,0,1"
39,289,"0,0,1,0;0,1,0,1",37,"0,1,1,0;1,0,1,1;1,1,0,1"
40,186,"0,0,0,1;0,0,1,1",38,"0,1,1,0;1,0,1,1;1,1,0,1"
41,152,"0,0,0,1;0,0,1,1",39,"0,1,1,0;1,0,1,1;1,1,0,1"
42,62,"0,0,0,0;1,1,0,0;1,1,1,0",40,"0,1,1,0;1,0,1,1;1,1,0,1"
43,55,"0,0,0,0;1,1,0,0;1,1,1,0",41,"0,1,1,0;1,0,1,1;1,1,0,1"
44,122,"0,1,0,0;1,0,0,0;1,0,0,1",42,"0,1,1,0;1,0,1,1;1,1,0,1"
45,170,"0,0,0,1;0,0,1,1",43,"0,1,1,0;1,0,1,1;1,1,0,1"
46,74,"0,0,0,0;1,1,0,0;1,1,1,0",44,"0,1,1,0;1,0,1,1;1,1,0,1"
47,103,"0,1,0,0;1,0,0,0;1,0,0,1",45,"0,1,1,0;1,0,1,1;1,1,0,1"
48,280,"0,0,1,0;0,1,0,1",46,"0,1,1,0;1,0,1,1;1,1,0,1"
49,151,"0,0,0,1;0,0,1,1",47,"0,1,1,0;1,0,1,1;1,1,0,1"
50,111,"0,1,0,0;1,0,0,0;1,0,0,1",48,"0,1,1,0;1,0,1,1;1,1,0,1"
