step,rs_random,rs_greedy
0,64512,64512
1,1600,768
2,736,184
3,192,184
4,192,184
5,192,184
6,192,184
7,184,184
8,184,184
9,184,184
10,184,184
11,184,184
12,184,184
13,184,184
14,184,184
15,184,184
16,184,184
17,184,184
18,200,184
19,200,184
20,200,184
21,184,184
22,192,184
23,192,184
24,192,184
25,192,184
26,192,184
27,192,184
28,192,184
29,192,184
30,184,184
31,192,184
32,192,184
33,192,184
34,192,184
35,192,184
36,192,184
37,192,184
38,192,184
39,192,184
40,192,184
41,192,184
42,192,184
43,192,184
44,192,184
45,192,184
46,192,184
47,192,184
48,192,184
49,192,184
50,192,184
