step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,135,"0,1,0,0;0,1,1,0;1,1,1,0",200,"0,0,1,1;0,1,1,1;1,0,1,1"
2,265,"0,0,0,0;0,0,1,0;1,0,0,0",250,"0,0,0,0;0,0,1,0;1,0,0,0"
3,72,"1,1,0,0",201,"0,0,1,1;0,1,1,1;1,0,1,1"
4,181,"1,0,0,1;1,1,0,1;1,1,1,1",0,"0,0,0,1;0,1,0,1;1,0,1,0"
5,23,"0,0,0,1;0,1,0,1;1,0,1,0",1,"0,0,0,1;0,1,0,1;1,0,1,0"
6,60,"1,1,0,0",2,"0,0,0,1;0,1,0,1;1,0,1,0"
7,213,"0,0,1,1;0,1,1,1;1,0,1,1",3,"0,0,0,1;0,1,0,1;1,0,1,0"
8,270,"0,0,0,0;0,0,1,0;1,0,0,0",4,"0,0,0,1;0,1,0,1;1,0,1,0"
9,74,"1,1,0,0",5,"0,0,0,1;0,1,0,1;1,0,1,0"
10,178,"1,0,0,1;1,1,0,1;1,1,1,1",6,"0,0,0,1;0,1,0,1;1,0,1,0"
11,117,"0,1,0,0;0,1,1,0;1,1,1,0",7,"0,0,0,1;0,1,0,1;1,0,1,0"
12,51,"1,1,0,0",8,"0,0,0,1;0,1,0,1;1,0,1,0"
13,228,"0,0,1,1;0,1,1,1;1,0,1,1",9,"0,0,0,1;0,1,0,1;1,0,1,0"
14,68,"1,1,0,0",10,"0,0,0,1;0,1,0,1;1,0,1,0"
15,93,"1,1,0,0",11,"0,0,0,1;0,1,0,1;1,0,1,0"
16,78,"1,1,0,0",12,"0,0,0,1;0,1,0,1;1,0,1,0"
17,180,"1,0,0,1;1,1,0,1;1,1,1,1",13,"0,0,0,1;0,1,0,1;1,0,1,0"
18,248,"0,0,1,1;0,1,1,1;1,0,1,1",14,"0,0,0,1;0,1,0,1;1,0,1,0"
19,55,"1,1,0,0",15,"0,0,0,1;0,1,0,1;1,0,1,0"
20,49,"0,0,0,1;0,1,0,1;1,0,1,0",16,"0,0,0,1;0,1,0,1;1,0,1,0"
21,82,"1,1,0,0",17,"0,0,0,1;0,1,0,1;1,0,1,0"
22,238,"0,0,1,1;0,1,1,1;1,0,1,1",18,"0,0,0,1;0,1,0,1;1,0,1,0"
23,73,"1,1,0,0",19,"0,0,0,1;0,1,0,1;1,0,1,0"
24,259,"0,0,0,0;0,0,1,0;1,0,0,0",20,"0,0,0,1;0,1,0,1;1,0,1,0"
25,243,"0,0,1,1;0,1,1,1;1,0,1,1",21,"0,0,0,1;0,1,0,1;1,0,1,0"
26,227,"0,0,1,1;0,1,1,1;1,0,1,1",22,"0,0,0,1;0,1,0,1;1,0,1,0"
27,4,"0,0,0,1;0,1,0,1;1,0,1,0",23,"0,0,0,1;0,1,0,1;1,0,1,0"
28,179,"1,0,0,1;1,1,0,1;1,1,1,1",24,"0,0,0,1;0,1,0,1;1,0,1,0"
29,114,"0,1,0,0;0,1,1,0;1,1,1,0",25,"0,0,0,1;0,1,0,1;1,0,1,0"
30,153,"1,0,0,1;1,1,0,1;1,1,1,1",26,"0,0,0,1;0,1,0,1;1,0,1,0"
31,239,"0,0,1,1;0,1,1,1;1,0,1,1",27,"0,0,0,1;0,1,0,1;1,0,1,0"
32,91,"1,1,0,0",28,"0,0,0,1;0,1,0,1;1,0,1,0"
33,183,"1,0,0,1;1,1,0,1;1,1,1,1",29,"0,0,0,1;0,1,0,1;1,0,1,0"
34,22,"0,0,0,1;0,1,0,1;1,0,1,0",30,"0,0,0,1;0,1,0,1;1,0,1,0"
35,143,"0,1,0,0;0,1,1,0;1,1,1,0",31,"0,0,0,1;0,1,0,1;1,0,1,0"
36,284,"0,0,0,0;0,0,1,0;1,0,0,0",32,"0,0,0,1;0,1,0,1;1,0,1,0"
37,195,"1,0,0,1;1,1,0,1;1,1,1,1",33,"0,0,0,1;0,1,0,1;1,0,1,0"
38,234,"0,0,1,1;0,1,1,1;1,0,1,1",34,"0,0,0,1;0,1,0,1;1,0,1,0"
39,222,"0,0,1,1;0,1,1,1;1,0,1,1",35,"0,0,0,1;0,1,0,1;1,0,1,0"
40,247,"0,0,1,1;0,1,1,1;1,0,1,1",36,"0,0,0,1;0,1,0,1;1,0,1,0"
41,101,"0,1,0,0;0,1,1,0;1,1,1,0",37,"0,0,0,1;0,1,0,1;1,0,1,0"
42,267,"0,0,0,0;0,0,1,0;1,0,0,0",38,"0,0,0,1;0,1,0,1;1,0,1,0"
43,277,"0,0,0,0;0,0,1,0;1,0,0,0",39,"0,0,0,1;0,1,0,1;1,0,1,0"
44,106,"0,1,0,0;0,1,1,0;1,1,1,0",40,"0,0,0,1;0,1,0,1;1,0,1,0"
45,57,"1,1,0,0",41,"0,0,0,1;0,1,0,1;1,0,1,0"
46,266,"0,0,0,0;0,0,1,0;1,0,0,0",42,"0,0,0,1;0,1,0,1;1,0,1,0"
47,296,"0,0,0,0;0,0,1,0;1,0,0,0",43,"0,0,0,1;0,1,0,1;1,0,1,0"
48,100,"0,1,0,0;0,1,1,0;1,1,1,0",44,"0,0,0,1;0,1,0,1;1,0,1,0"
49,59,"1,1,0,0",45,"0,0,0,1;0,1,0,1;1,0,1,0"
50,186,"1,0,0,1;1,1,0,1;1,1,1,1",46,"0,0,0,1;0,1,0,1;1,0,1,0"
