step,rs_random,rs_greedy
0,64512,64512
1,736,672
2,384,184
3,384,176
4,200,184
5,200,184
6,200,184
7,200,184
8,200,184
9,200,184
10,192,184
11,200,184
12,200,184
13,200,184
14,200,184
15,200,184
16,200,184
17,184,184
18,184,184
19,184,184
20,184,184
21,184,184
22,184,184
23,184,184
24,184,184
25,184,184
26,184,184
27,200,184
28,200,184
29,184,184
30,184,184
31,200,184
32,200,184
33,200,184
34,200,184
35,200,184
36,184,184
37,184,184
38,200,184
39,200,184
40,200,184
41,200,184
42,200,184
43,200,184
44,200,184
45,200,184
46,192,184
47,192,184
48,192,184
49,192,184
50,184,184
