step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,68,"0,0,1,0",120,"0,0,0,0;0,1,0,1;1,1,1,0"
2,64,"0,0,1,0",100,"0,1,1,0;0,1,1,1"
3,49,"0,1,0,0;1,1,1,1",0,"0,0,1,1;1,1,0,1"
4,21,"1,0,0,1",1,"0,0,1,1;1,1,0,1"
5,60,"0,0,1,0",40,"0,1,0,0;1,1,1,1"
6,16,"0,0,1,1;1,1,0,1",2,"0,0,1,1;1,1,0,1"
7,54,"0,1,0,0;1,1,1,1",41,"0,1,0,0;1,1,1,1"
8,152,"1,0,0,0;1,0,1,0;1,1,0,0",3,"0,0,1,1;1,1,0,1"
9,98,"1,0,1,1",42,"0,1,0,0;1,1,1,1"
10,118,"0,1,1,0;0,1,1,1",4,"0,0,1,1;1,1,0,1"
11,168,"0,0,0,1",43,"0,1,0,0;1,1,1,1"
12,94,"1,0,1,1",5,"0,0,1,1;1,1,0,1"
13,71,"0,0,1,0",44,"0,1,0,0;1,1,1,1"
14,37,"1,0,0,1",6,"0,0,1,1;1,1,0,1"
15,139,"0,0,0,0;0,1,0,1;1,1,1,0",45,"0,1,0,0;1,1,1,1"
16,135,"0,0,0,0;0,1,0,1;1,1,1,0",7,"0,0,1,1;1,1,0,1"
17,100,"0,1,1,0;0,1,1,1",46,"0,1,0,0;1,1,1,1"
18,124,"0,0,0,0;0,1,0,1;1,1,1,0",8,"0,0,1,1;1,1,0,1"
19,36,"1,0,0,1",47,"0,1,0,0;1,1,1,1"
20,85,"1,0,1,1",9,"0,0,1,1;1,1,0,1"
21,133,"0,0,0,0;0,1,0,1;1,1,1,0",48,"0,1,0,0;1,1,1,1"
22,151,"1,0,0,0;1,0,1,0;1,1,0,0",10,"0,0,1,1;1,1,0,1"
23,40,"0,1,0,0;1,1,1,1",49,"0,1,0,0;1,1,1,1"
24,136,"0,0,0,0;0,1,0,1;1,1,1,0",11,"0,0,1,1;1,1,0,1"
25,34,"1,0,0,1",50,"0,1,0,0;1,1,1,1"
26,72,"0,0,1,0",12,"0,0,1,1;1,1,0,1"
27,131,"0,0,0,0;0,1,0,1;1,1,1,0",51,"0,1,0,0;1,1,1,1"
28,87,"1,0,1,1",13,"0,0,1,1;1,1,0,1"
29,56,"0,1,0,0;1,1,1,1",52,"0,1,0,0;1,1,1,1"
30,146,"1,0,0,0;1,0,1,0;1,1,0,0",14,"0,0,1,1;1,1,0,1"
