step,rs_random,rs_greedy
0,64512,64512
1,736,736
2,352,192
3,352,184
4,368,176
5,368,184
6,200,184
7,192,184
8,200,184
9,200,184
10,200,184
11,184,184
12,184,184
13,184,184
14,184,184
15,184,184
16,184,184
17,184,184
18,184,184
19,184,184
20,184,184
21,184,184
22,184,184
23,184,184
24,184,184
25,184,184
26,184,184
27,184,184
28,184,184
29,184,184
30,184,184
31,184,184
32,184,184
33,184,184
34,184,184
35,184,184
36,184,184
37,184,184
38,184,184
39,184,184
40,184,184
41,184,184
42,184,184
43,184,184
44,184,184
45,184,184
46,184,184
47,184,184
48,184,184
49,184,184
50,184,184
