step,rs_random,rs_greedy
0,64512,64512
1,768,736
2,384,184
3,192,184
4,184,184
5,200,184
6,200,184
7,200,184
8,200,184
9,184,184
10,184,184
11,184,184
12,200,184
13,200,184
14,184,184
15,184,184
16,184,176
17,184,176
18,184,176
19,184,176
20,200,176
21,200,176
22,200,176
23,200,176
24,200,176
25,200,176
26,200,176
27,184,176
28,184,176
29,184,176
30,184,176
31,184,176
32,184,176
33,184,176
34,184,176
35,184,176
36,184,176
37,184,176
38,184,176
39,184,176
40,184,176
41,184,176
42,184,176
43,184,176
44,184,176
45,184,176
46,184,176
47,184,176
48,184,176
49,184,176
50,184,176
