step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,7,"0,0,0,1;0,1,0,1;1,0,1,0",80,"0,0,1,1;0,1,1,1;1,0,1,1"
2,6,"0,0,0,1;0,1,0,1;1,0,1,0",100,"0,0,0,0;0,0,1,0;1,0,0,0"
3,73,"1,0,0,1;1,1,0,1;1,1,1,1",81,"0,0,1,1;0,1,1,1;1,0,1,1"
4,10,"0,0,0,1;0,1,0,1;1,0,1,0",0,"0,0,0,1;0,1,0,1;1,0,1,0"
5,76,"1,0,0,1;1,1,0,1;1,1,1,1",1,"0,0,0,1;0,1,0,1;1,0,1,0"
6,54,"0,1,0,0;0,1,1,0;1,1,1,0",2,"0,0,0,1;0,1,0,1;1,0,1,0"
7,86,"0,0,1,1;0,1,1,1;1,0,1,1",3,"0,0,0,1;0,1,0,1;1,0,1,0"
8,26,"1,1,0,0",4,"0,0,0,1;0,1,0,1;1,0,1,0"
9,64,"1,0,0,1;1,1,0,1;1,1,1,1",5,"0,0,0,1;0,1,0,1;1,0,1,0"
10,89,"0,0,1,1;0,1,1,1;1,0,1,1",6,"0,0,0,1;0,1,0,1;1,0,1,0"
11,9,"0,0,0,1;0,1,0,1;1,0,1,0",7,"0,0,0,1;0,1,0,1;1,0,1,0"
12,80,"0,0,1,1;0,1,1,1;1,0,1,1",8,"0,0,0,1;0,1,0,1;1,0,1,0"
13,50,"0,1,0,0;0,1,1,0;1,1,1,0",9,"0,0,0,1;0,1,0,1;1,0,1,0"
14,62,"1,0,0,1;1,1,0,1;1,1,1,1",10,"0,0,0,1;0,1,0,1;1,0,1,0"
15,57,"0,1,0,0;0,1,1,0;1,1,1,0",11,"0,0,0,1;0,1,0,1;1,0,1,0"
16,105,"0,0,0,0;0,0,1,0;1,0,0,0",12,"0,0,0,1;0,1,0,1;1,0,1,0"
17,77,"1,0,0,1;1,1,0,1;1,1,1,1",13,"0,0,0,1;0,1,0,1;1,0,1,0"
18,103,"0,0,0,0;0,0,1,0;1,0,0,0",14,"0,0,0,1;0,1,0,1;1,0,1,0"
19,60,"1,0,0,1;1,1,0,1;1,1,1,1",15,"0,0,0,1;0,1,0,1;1,0,1,0"
20,88,"0,0,1,1;0,1,1,1;1,0,1,1",16,"0,0,0,1;0,1,0,1;1,0,1,0"
21,46,"0,1,0,0;0,1,1,0;1,1,1,0",17,"0,0,0,1;0,1,0,1;1,0,1,0"
22,81,"0,0,1,1;0,1,1,1;1,0,1,1",18,"0,0,0,1;0,1,0,1;1,0,1,0"
23,65,"1,0,0,1;1,1,0,1;1,1,1,1",19,"0,0,0,1;0,1,0,1;1,0,1,0"
24,56,"0,1,0,0;0,1,1,0;1,1,1,0",20,"1,1,0,0"
25,95,"0,0,1,1;0,1,1,1;1,0,1,1",21,"1,1,0,0"
26,117,"0,0,0,0;0,0,1,0;1,0,0,0",22,"1,1,0,0"
27,39,"1,1,0,0",23,"1,1,0,0"
28,84,"0,0,1,1;0,1,1,1;1,0,1,1",24,"1,1,0,0"
29,90,"0,0,1,1;0,1,1,1;1,0,1,1",40,"0,1,0,0;0,1,1,0;1,1,1,0"
30,109,"0,0,0,0;0,0,1,0;1,0,0,0",41,"0,1,0,0;0,1,1,0;1,1,1,0"
