step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,57,"0,0,1,1;0,1,1,0",100,"0,1,0,1;1,0,0,0;1,0,0,1"
2,225,"0,0,0,1",350,"0,0,0,0;1,1,1,0"
3,198,"0,1,0,0;1,1,0,0",101,"0,1,0,1;1,0,0,0;1,0,0,1"
4,16,"0,1,1,1;1,0,1,1;1,1,0,1",0,"0,1,1,1;1,0,1,1;1,1,0,1"
5,409,"1,1,1,1",300,"1,0,1,0"
6,226,"0,0,0,1",1,"0,1,1,1;1,0,1,1;1,1,0,1"
7,442,"1,1,1,1",102,"0,1,0,1;1,0,0,0;1,0,0,1"
8,366,"0,0,0,0;1,1,1,0",250,"0,0,1,0"
9,428,"1,1,1,1",251,"0,0,1,0"
10,124,"0,1,0,1;1,0,0,0;1,0,0,1",50,"0,0,1,1;0,1,1,0"
11,373,"0,0,0,0;1,1,1,0",51,"0,0,1,1;0,1,1,0"
12,38,"0,1,1,1;1,0,1,1;1,1,0,1",52,"0,0,1,1;0,1,1,0"
13,63,"0,0,1,1;0,1,1,0",103,"0,1,0,1;1,0,0,0;1,0,0,1"
14,358,"0,0,0,0;1,1,1,0",53,"0,0,1,1;0,1,1,0"
15,29,"0,1,1,1;1,0,1,1;1,1,0,1",54,"0,0,1,1;0,1,1,0"
16,349,"1,0,1,0",55,"0,0,1,1;0,1,1,0"
17,170,"0,1,0,0;1,1,0,0",56,"0,0,1,1;0,1,1,0"
18,169,"0,1,0,0;1,1,0,0",57,"0,0,1,1;0,1,1,0"
19,427,"1,1,1,1",58,"0,0,1,1;0,1,1,0"
20,30,"0,1,1,1;1,0,1,1;1,1,0,1",59,"0,0,1,1;0,1,1,0"
21,446,"1,1,1,1",60,"0,0,1,1;0,1,1,0"
22,388,"0,0,0,0;1,1,1,0",61,"0,0,1,1;0,1,1,0"
23,412,"1,1,1,1",62,"0,0,1,1;0,1,1,0"
24,6,"0,1,1,1;1,0,1,1;1,1,0,1",63,"0,0,1,1;0,1,1,0"
25,294,"0,0,1,0",64,"0,0,1,1;0,1,1,0"
26,440,"1,1,1,1",65,"0,0,1,1;0,1,1,0"
27,449,"1,1,1,1",66,"0,0,1,1;0,1,1,0"
28,318,"1,0,1,0",67,"0,0,1,1;0,1,1,0"
29,26,"0,1,1,1;1,0,1,1;1,1,0,1",68,"0,0,1,1;0,1,1,0"
30,179,"0,1,0,0;1,1,0,0",69,"0,0,1,1;0,1,1,0"
31,61,"0,0,1,1;0,1,1,0",70,"0,0,1,1;0,1,1,0"
32,219,"0,0,0,1",71,"0,0,1,1;0,1,1,0"
33,396,"0,0,0,0;1,1,1,0",72,"0,0,1,1;0,1,1,0"
34,33,"0,1,1,1;1,0,1,1;1,1,0,1",73,"0,0,1,1;0,1,1,0"
35,345,"1,0,1,0",74,"0,0,1,1;0,1,1,0"
36,67,"0,0,1,1;0,1,1,0",75,"0,0,1,1;0,1,1,0"
37,293,"0,0,1,0",76,"0,0,1,1;0,1,1,0"
38,207,"0,0,0,1",77,"0,0,1,1;0,1,1,0"
39,86,"0,0,1,1;0,1,1,0",78,"0,0,1,1;0,1,1,0"
40,213,"0,0,0,1",79,"0,0,1,1;0,1,1,0"
41,274,"0,0,1,0",80,"0,0,1,1;0,1,1,0"
42,381,"0,0,0,0;1,1,1,0",81,"0,0,1,1;0,1,1,0"
43,429,"1,1,1,1",104,"0,1,0,1;1,0,0,0;1,0,0,1"
44,276,"0,0,1,0",2,"0,1,1,1;1,0,1,1;1,1,0,1"
45,241,"0,0,0,1",82,"0,0,1,1;0,1,1,0"
46,206,"0,0,0,1",83,"0,0,1,1;0,1,1,0"
47,272,"0,0,1,0",84,"0,0,1,1;0,1,1,0"
48,320,"1,0,1,0",85,"0,0,1,1;0,1,1,0"
49,173,"0,1,0,0;1,1,0,0",86,"0,0,1,1;0,1,1,0"
50,65,"0,0,1,1;0,1,1,0",87,"0,0,1,1;0,1,1,0"
