step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,189,"0,1,1,1;1,0,1,0",0,"0,0,1,1;0,1,1,0;1,1,0,1"
2,326,"0,0,1,0",400,"0,1,0,0;1,1,1,0"
3,40,"0,0,1,1;0,1,1,0;1,1,0,1",1,"0,0,1,1;0,1,1,0;1,1,0,1"
4,375,"1,1,1,1",2,"0,0,1,1;0,1,1,0;1,1,0,1"
5,446,"0,1,0,0;1,1,1,0",3,"0,0,1,1;0,1,1,0;1,1,0,1"
6,407,"0,1,0,0;1,1,1,0",4,"0,0,1,1;0,1,1,0;1,1,0,1"
7,147,"0,1,0,1",5,"0,0,1,1;0,1,1,0;1,1,0,1"
8,206,"0,0,0,1;1,1,0,0",6,"0,0,1,1;0,1,1,0;1,1,0,1"
9,354,"1,1,1,1",7,"0,0,1,1;0,1,1,0;1,1,0,1"
10,320,"0,0,1,0",8,"0,0,1,1;0,1,1,0;1,1,0,1"
11,420,"0,1,0,0;1,1,1,0",9,"0,0,1,1;0,1,1,0;1,1,0,1"
12,239,"0,0,0,1;1,1,0,0",10,"0,0,1,1;0,1,1,0;1,1,0,1"
13,131,"0,1,0,1",11,"0,0,1,1;0,1,1,0;1,1,0,1"
14,73,"1,0,1,1",12,"0,0,1,1;0,1,1,0;1,1,0,1"
15,32,"0,0,1,1;0,1,1,0;1,1,0,1",13,"0,0,1,1;0,1,1,0;1,1,0,1"
16,295,"0,0,0,0;1,0,0,0;1,0,0,1",14,"0,0,1,1;0,1,1,0;1,1,0,1"
17,321,"0,0,1,0",15,"0,0,1,1;0,1,1,0;1,1,0,1"
18,286,"0,0,0,0;1,0,0,0;1,0,0,1",16,"0,0,1,1;0,1,1,0;1,1,0,1"
19,101,"0,1,0,1",17,"0,0,1,1;0,1,1,0;1,1,0,1"
20,61,"1,0,1,1",18,"0,0,1,1;0,1,1,0;1,1,0,1"
21,350,"1,1,1,1",19,"0,0,1,1;0,1,1,0;1,1,0,1"
22,298,"0,0,0,0;1,0,0,0;1,0,0,1",20,"0,0,1,1;0,1,1,0;1,1,0,1"
23,372,"1,1,1,1",21,"0,0,1,1;0,1,1,0;1,1,0,1"
24,136,"0,1,0,1",22,"0,0,1,1;0,1,1,0;1,1,0,1"
25,119,"0,1,0,1",23,"0,0,1,1;0,1,1,0;1,1,0,1"
26,159,"0,1,1,1;1,0,1,0",24,"0,0,1,1;0,1,1,0;1,1,0,1"
27,227,"0,0,0,1;1,1,0,0",25,"0,0,1,1;0,1,1,0;1,1,0,1"
28,126,"0,1,0,1",26,"0,0,1,1;0,1,1,0;1,1,0,1"
29,399,"1,1,1,1",27,"0,0,1,1;0,1,1,0;1,1,0,1"
30,187,"0,1,1,1;1,0,1,0",28,"0,0,1,1;0,1,1,0;1,1,0,1"
31,274,"0,0,0,0;1,0,0,0;1,0,0,1",29,"0,0,1,1;0,1,1,0;1,1,0,1"
32,112,"0,1,0,1",30,"0,0,1,1;0,1,1,0;1,1,0,1"
33,261,"0,0,0,0;1,0,0,0;1,0,0,1",31,"0,0,1,1;0,1,1,0;1,1,0,1"
34,180,"0,1,1,1;1,0,1,0",32,"0,0,1,1;0,1,1,0;1,1,0,1"
35,216,"0,0,0,1;1,1,0,0",33,"0,0,1,1;0,1,1,0;1,1,0,1"
36,221,"0,0,0,1;1,1,0,0",34,"0,0,1,1;0,1,1,0;1,1,0,1"
37,419,"0,1,0,0;1,1,1,0",35,"0,0,1,1;0,1,1,0;1,1,0,1"
38,449,"0,1,0,0;1,1,1,0",36,"0,0,1,1;0,1,1,0;1,1,0,1"
39,209,"0,0,0,1;1,1,0,0",37,"0,0,1,1;0,1,1,0;1,1,0,1"
40,270,"0,0,0,0;1,0,0,0;1,0,0,1",38,"0,0,1,1;0,1,1,0;1,1,0,1"
41,84,"1,0,1,1",39,"0,0,1,1;0,1,1,0;1,1,0,1"
42,97,"1,0,1,1",40,"0,0,1,1;0,1,1,0;1,1,0,1"
43,23,"0,0,1,1;0,1,1,0;1,1,0,1",41,"0,0,1,1;0,1,1,0;1,1,0,1"
44,128,"0,1,0,1",42,"0,0,1,1;0,1,1,0;1,1,0,1"
45,67,"1,0,1,1",43,"0,0,1,1;0,1,1,0;1,1,0,1"
46,16,"0,0,1,1;0,1,1,0;1,1,0,1",44,"0,0,1,1;0,1,1,0;1,1,0,1"
47,66,"1,0,1,1",45,"0,0,1,1;0,1,1,0;1,1,0,1"
48,236,"0,0,0,1;1,1,0,0",46,"0,0,1,1;0,1,1,0;1,1,0,1"
49,179,"0,1,1,1;1,0,1,0",47,"0,0,1,1;0,1,1,0;1,1,0,1"
50,17,"0,0,1,1;0,1,1,0;1,1,0,1",48,"0,0,1,1;0,1,1,0;1,1,0,1"
