step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,176,"1,0,0,0;1,1,1,1",400,"0,1,0,0;1,0,1,0;1,1,0,1"
2,481,"0,0,0,1;0,1,1,0",150,"1,0,0,0;1,1,1,1"
3,396,"0,1,1,1",0,"1,1,1,0"
4,109,"0,0,1,0;0,0,1,1;1,0,1,1",1,"1,1,1,0"
5,291,"0,0,0,0",50,"0,1,0,1"
6,483,"0,0,0,1;0,1,1,0",2,"1,1,1,0"
7,133,"0,0,1,0;0,0,1,1;1,0,1,1",3,"1,1,1,0"
8,70,"0,1,0,1",4,"1,1,1,0"
9,233,"1,1,0,0",5,"1,1,1,0"
10,71,"0,1,0,1",6,"1,1,1,0"
11,284,"0,0,0,0",7,"1,1,1,0"
12,243,"1,1,0,0",51,"0,1,0,1"
13,137,"0,0,1,0;0,0,1,1;1,0,1,1",8,"1,1,1,0"
14,266,"0,0,0,0",9,"1,1,1,0"
15,97,"0,1,0,1",10,"1,1,1,0"
16,259,"0,0,0,0",11,"1,1,1,0"
17,73,"0,1,0,1",12,"1,1,1,0"
18,381,"0,1,1,1",52,"0,1,0,1"
19,468,"0,0,0,1;0,1,1,0",13,"1,1,1,0"
20,479,"0,0,0,1;0,1,1,0",14,"1,1,1,0"
21,170,"1,0,0,0;1,1,1,1",15,"1,1,1,0"
22,363,"0,1,1,1",16,"1,1,1,0"
23,94,"0,1,0,1",17,"1,1,1,0"
24,162,"1,0,0,0;1,1,1,1",53,"0,1,0,1"
25,229,"1,1,0,0",18,"1,1,1,0"
26,142,"0,0,1,0;0,0,1,1;1,0,1,1",19,"1,1,1,0"
27,426,"0,1,0,0;1,0,1,0;1,1,0,1",20,"1,1,1,0"
28,318,"1,0,0,1",21,"1,1,1,0"
29,306,"1,0,0,1",22,"1,1,1,0"
30,49,"1,1,1,0",54,"0,1,0,1"
31,364,"0,1,1,1",23,"1,1,1,0"
32,113,"0,0,1,0;0,0,1,1;1,0,1,1",24,"1,1,1,0"
33,453,"0,0,0,1;0,1,1,0",25,"1,1,1,0"
34,343,"1,0,0,1",26,"1,1,1,0"
35,6,"1,1,1,0",27,"1,1,1,0"
36,159,"1,0,0,0;1,1,1,1",55,"0,1,0,1"
37,141,"0,0,1,0;0,0,1,1;1,0,1,1",28,"1,1,1,0"
38,84,"0,1,0,1",29,"1,1,1,0"
39,447,"0,1,0,0;1,0,1,0;1,1,0,1",30,"1,1,1,0"
40,115,"0,0,1,0;0,0,1,1;1,0,1,1",31,"1,1,1,0"
41,455,"0,0,0,1;0,1,1,0",32,"1,1,1,0"
42,27,"1,1,1,0",56,"0,1,0,1"
43,63,"0,1,0,1",33,"1,1,1,0"
44,406,"0,1,0,0;1,0,1,0;1,1,0,1",34,"1,1,1,0"
45,353,"0,1,1,1",35,"1,1,1,0"
46,355,"0,1,1,1",36,"1,1,1,0"
47,147,"0,0,1,0;0,0,1,1;1,0,1,1",37,"1,1,1,0"
48,295,"0,0,0,0",57,"0,1,0,1"
49,123,"0,0,1,0;0,0,1,1;1,0,1,1",38,"1,1,1,0"
50,484,"0,0,0,1;0,1,1,0",39,"1,1,1,0"
