step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,69,"0,1,1,1;1,0,1,0",0,"0,0,1,1;0,1,1,0;1,1,0,1"
2,40,"0,1,0,1",160,"0,1,0,0;1,1,1,0"
3,118,"0,0,0,0;1,0,0,0;1,0,0,1",1,"0,0,1,1;0,1,1,0;1,1,0,1"
4,150,"1,1,1,1",2,"0,0,1,1;0,1,1,0;1,1,0,1"
5,149,"1,1,1,1",3,"0,0,1,1;0,1,1,0;1,1,0,1"
6,95,"0,0,0,1;1,1,0,0",4,"0,0,1,1;0,1,1,0;1,1,0,1"
7,61,"0,1,1,1;1,0,1,0",5,"0,0,1,1;0,1,1,0;1,1,0,1"
8,162,"0,1,0,0;1,1,1,0",6,"0,0,1,1;0,1,1,0;1,1,0,1"
9,135,"0,0,1,0",7,"0,0,1,1;0,1,1,0;1,1,0,1"
10,75,"0,1,1,1;1,0,1,0",8,"0,0,1,1;0,1,1,0;1,1,0,1"
11,32,"1,0,1,1",9,"0,0,1,1;0,1,1,0;1,1,0,1"
12,31,"1,0,1,1",10,"0,0,1,1;0,1,1,0;1,1,0,1"
13,58,"0,1,0,1",11,"0,0,1,1;0,1,1,0;1,1,0,1"
14,22,"1,0,1,1",12,"0,0,1,1;0,1,1,0;1,1,0,1"
15,107,"0,0,0,0;1,0,0,0;1,0,0,1",13,"0,0,1,1;0,1,1,0;1,1,0,1"
16,65,"0,1,1,1;1,0,1,0",14,"0,0,1,1;0,1,1,0;1,1,0,1"
17,88,"0,0,0,1;1,1,0,0",15,"0,0,1,1;0,1,1,0;1,1,0,1"
18,33,"1,0,1,1",16,"0,0,1,1;0,1,1,0;1,1,0,1"
19,111,"0,0,0,0;1,0,0,0;1,0,0,1",17,"0,0,1,1;0,1,1,0;1,1,0,1"
20,146,"1,1,1,1",18,"0,0,1,1;0,1,1,0;1,1,0,1"
21,129,"0,0,1,0",19,"0,0,1,1;0,1,1,0;1,1,0,1"
22,171,"0,1,0,0;1,1,1,0",40,"0,1,0,1"
23,137,"0,0,1,0",20,"1,0,1,1"
24,134,"0,0,1,0",21,"1,0,1,1"
25,2,"0,0,1,1;0,1,1,0;1,1,0,1",41,"0,1,0,1"
26,123,"0,0,1,0",42,"0,1,0,1"
27,153,"1,1,1,1",43,"0,1,0,1"
28,92,"0,0,0,1;1,1,0,0",44,"0,1,0,1"
29,106,"0,0,0,0;1,0,0,0;1,0,0,1",45,"0,1,0,1"
30,25,"1,0,1,1",46,"0,1,0,1"
