step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,57,"0,1,0,1;1,0,0,0;1,0,0,1",40,"0,1,0,1;1,0,0,0;1,0,0,1"
2,16,"0,1,1,1;1,0,1,1;1,1,0,1",140,"0,0,0,0;1,1,1,0"
3,151,"0,0,0,0;1,1,1,0",41,"0,1,0,1;1,0,0,0;1,0,0,1"
4,107,"0,0,1,0",0,"0,1,1,1;1,0,1,1;1,1,0,1"
5,169,"1,1,1,1",120,"1,0,1,0"
6,125,"1,0,1,0",1,"0,1,1,1;1,0,1,1;1,1,0,1"
7,113,"0,0,1,0",42,"0,1,0,1;1,0,0,0;1,0,0,1"
8,38,"0,0,1,1;0,1,1,0",100,"0,0,1,0"
9,63,"0,1,0,0;1,1,0,0",101,"0,0,1,0"
10,98,"0,0,0,1",20,"0,0,1,1;0,1,1,0"
11,29,"0,0,1,1;0,1,1,0",21,"0,0,1,1;0,1,1,0"
12,89,"0,0,0,1",22,"0,0,1,1;0,1,1,0"
13,176,"1,1,1,1",43,"0,1,0,1;1,0,0,0;1,0,0,1"
14,175,"1,1,1,1",23,"0,0,1,1;0,1,1,0"
15,166,"1,1,1,1",24,"0,0,1,1;0,1,1,0"
16,30,"0,0,1,1;0,1,1,0",25,"0,0,1,1;0,1,1,0"
17,127,"1,0,1,0",26,"0,0,1,1;0,1,1,0"
18,150,"0,0,0,0;1,1,1,0",27,"0,0,1,1;0,1,1,0"
19,6,"0,1,1,1;1,0,1,1;1,1,0,1",28,"0,0,1,1;0,1,1,0"
20,27,"0,0,1,1;0,1,1,0",29,"0,0,1,1;0,1,1,0"
