step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,158,"0,0,0,0;1,0,1,1",0,"0,1,0,0;0,1,1,0;1,0,1,0"
2,131,"0,0,0,1;0,1,1,1",40,"0,0,1,1;0,1,0,1;1,0,0,1"
3,124,"0,0,0,1;0,1,1,1",1,"0,1,0,0;0,1,1,0;1,0,1,0"
4,32,"1,1,0,0;1,1,1,0;1,1,1,1",20,"1,1,0,0;1,1,1,0;1,1,1,1"
5,96,"1,1,0,1",21,"1,1,0,0;1,1,1,0;1,1,1,1"
6,69,"0,0,1,0",2,"0,1,0,0;0,1,1,0;1,0,1,0"
7,125,"0,0,0,1;0,1,1,1",22,"1,1,0,0;1,1,1,0;1,1,1,1"
8,123,"0,0,0,1;0,1,1,1",3,"0,1,0,0;0,1,1,0;1,0,1,0"
9,15,"0,1,0,0;0,1,1,0;1,0,1,0",23,"1,1,0,0;1,1,1,0;1,1,1,1"
10,67,"0,0,1,0",4,"0,1,0,0;0,1,1,0;1,0,1,0"
11,151,"0,0,0,0;1,0,1,1",24,"1,1,0,0;1,1,1,0;1,1,1,1"
12,55,"0,0,1,1;0,1,0,1;1,0,0,1",5,"0,1,0,0;0,1,1,0;1,0,1,0"
13,60,"0,0,1,0",25,"1,1,0,0;1,1,1,0;1,1,1,1"
14,128,"0,0,0,1;0,1,1,1",6,"0,1,0,0;0,1,1,0;1,0,1,0"
15,48,"0,0,1,1;0,1,0,1;1,0,0,1",26,"1,1,0,0;1,1,1,0;1,1,1,1"
16,8,"0,1,0,0;0,1,1,0;1,0,1,0",7,"0,1,0,0;0,1,1,0;1,0,1,0"
17,155,"0,0,0,0;1,0,1,1",27,"1,1,0,0;1,1,1,0;1,1,1,1"
18,138,"0,0,0,1;0,1,1,1",8,"0,1,0,0;0,1,1,0;1,0,1,0"
19,26,"1,1,0,0;1,1,1,0;1,1,1,1",28,"1,1,0,0;1,1,1,0;1,1,1,1"
20,13,"0,1,0,0;0,1,1,0;1,0,1,0",9,"0,1,0,0;0,1,1,0;1,0,1,0"
