step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,176,"0,1,0,0;1,0,1,0;1,1,0,1",160,"0,1,0,0;1,0,1,0;1,1,0,1"
2,139,"1,0,0,1",60,"1,0,0,0;1,1,1,1"
3,109,"0,0,0,0",0,"1,1,1,0"
4,33,"0,1,0,1",1,"1,1,1,0"
5,134,"1,0,0,1",20,"0,1,0,1"
6,71,"1,0,0,0;1,1,1,1",2,"1,1,1,0"
7,72,"1,0,0,0;1,1,1,1",3,"1,1,1,0"
8,22,"0,1,0,1",4,"1,1,1,0"
9,140,"0,1,1,1",5,"1,1,1,0"
10,2,"1,1,1,0",6,"1,1,1,0"
11,100,"0,0,0,0",7,"1,1,1,0"
12,76,"1,0,0,0;1,1,1,1",21,"0,1,0,1"
13,119,"0,0,0,0",8,"1,1,1,0"
14,175,"0,1,0,0;1,0,1,0;1,1,0,1",9,"1,1,1,0"
15,98,"1,1,0,0",10,"1,1,1,0"
16,97,"1,1,0,0",11,"1,1,1,0"
17,168,"0,1,0,0;1,0,1,0;1,1,0,1",12,"1,1,1,0"
18,148,"0,1,1,1",22,"0,1,0,1"
19,163,"0,1,0,0;1,0,1,0;1,1,0,1",13,"1,1,1,0"
20,46,"0,0,1,0;0,0,1,1;1,0,1,1",14,"1,1,1,0"
