step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,20,"1,0,0,1;1,0,1,1",120,"0,0,1,0;0,0,1,1;1,1,0,1"
2,164,"0,0,0,0",80,"0,0,0,1;0,1,1,0"
3,175,"0,0,0,0",0,"1,1,0,0"
4,60,"0,1,0,0;0,1,0,1",1,"1,1,0,0"
5,133,"0,0,1,0;0,0,1,1;1,1,0,1",60,"0,1,0,0;0,1,0,1"
6,98,"0,0,0,1;0,1,1,0",40,"1,1,1,0"
7,86,"0,0,0,1;0,1,1,0",2,"1,1,0,0"
8,136,"0,0,1,0;0,0,1,1;1,1,0,1",3,"1,1,0,0"
9,124,"0,0,1,0;0,0,1,1;1,1,0,1",4,"1,1,0,0"
10,158,"1,0,0,0",5,"1,1,0,0"
11,56,"1,1,1,0",6,"1,1,0,0"
12,159,"1,0,0,0",7,"1,1,0,0"
13,70,"0,1,0,0;0,1,0,1",8,"1,1,0,0"
14,115,"0,1,1,1;1,0,1,0;1,1,1,1",9,"1,1,0,0"
15,106,"0,1,1,1;1,0,1,0;1,1,1,1",10,"1,1,0,0"
16,59,"1,1,1,0",61,"0,1,0,0;0,1,0,1"
17,1,"1,1,0,0",11,"1,1,0,0"
18,15,"1,1,0,0",12,"1,1,0,0"
19,132,"0,0,1,0;0,0,1,1;1,1,0,1",13,"1,1,0,0"
20,113,"0,1,1,1;1,0,1,0;1,1,1,1",14,"1,1,0,0"
