step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,16,"0,0,0,0",24,"0,1,0,0;1,0,1,0;1,1,0,1"
2,0,"1,1,1,0",9,"1,0,0,0;1,1,1,1"
3,12,"1,1,0,0",0,"1,1,1,0"
4,15,"0,0,0,0",1,"1,1,1,0"
5,2,"1,1,1,0",3,"0,1,0,1"
6,6,"0,0,1,0;0,0,1,1;1,0,1,1",2,"1,1,1,0"
7,9,"1,0,0,0;1,1,1,1",4,"0,1,0,1"
8,8,"0,0,1,0;0,0,1,1;1,0,1,1",5,"0,1,0,1"
9,11,"1,0,0,0;1,1,1,1",6,"0,0,1,0;0,0,1,1;1,0,1,1"
10,22,"0,1,1,1",10,"1,0,0,0;1,1,1,1"
11,10,"1,0,0,0;1,1,1,1",11,"1,0,0,0;1,1,1,1"
12,4,"0,1,0,1",12,"1,1,0,0"
13,18,"1,0,0,1",7,"0,0,1,0;0,0,1,1;1,0,1,1"
14,28,"0,0,0,1;0,1,1,0",13,"1,1,0,0"
15,13,"1,1,0,0",8,"0,0,1,0;0,0,1,1;1,0,1,1"
16,29,"0,0,0,1;0,1,1,0",14,"1,1,0,0"
17,7,"0,0,1,0;0,0,1,1;1,0,1,1",15,"0,0,0,0"
18,27,"0,0,0,1;0,1,1,0",16,"0,0,0,0"
19,26,"0,1,0,0;1,0,1,0;1,1,0,1",18,"1,0,0,1"
20,25,"0,1,0,0;1,0,1,0;1,1,0,1",17,"0,0,0,0"
