step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,10,"1,0,1,0",24,"0,0,0,1;0,1,0,1;1,1,0,0"
2,14,"0,0,1,1",18,"0,1,0,0;0,1,1,1"
3,8,"1,0,0,0;1,1,0,1",0,"1,1,1,0"
4,24,"0,0,0,1;0,1,0,1;1,1,0,0",6,"1,0,0,0;1,1,0,1"
5,26,"0,0,0,1;0,1,0,1;1,1,0,0",1,"1,1,1,0"
6,23,"0,1,1,0;1,1,1,1",2,"1,1,1,0"
7,21,"0,1,1,0;1,1,1,1",3,"0,0,1,0"
8,15,"0,0,0,0;1,0,0,1",4,"0,0,1,0"
9,5,"0,0,1,0",7,"1,0,0,0;1,1,0,1"
10,6,"1,0,0,0;1,1,0,1",12,"0,0,1,1"
11,27,"1,0,1,1",13,"0,0,1,1"
12,29,"1,0,1,1",14,"0,0,1,1"
13,4,"0,0,1,0",5,"0,0,1,0"
14,19,"0,1,0,0;0,1,1,1",15,"0,0,0,0;1,0,0,1"
15,0,"1,1,1,0",16,"0,0,0,0;1,0,0,1"
16,3,"0,0,1,0",9,"1,0,1,0"
17,9,"1,0,1,0",8,"1,0,0,0;1,1,0,1"
18,22,"0,1,1,0;1,1,1,1",10,"1,0,1,0"
19,16,"0,0,0,0;1,0,0,1",11,"1,0,1,0"
20,2,"1,1,1,0",17,"0,0,0,0;1,0,0,1"
