step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,11,"0,0,1,0",0,"0,1,0,0;0,1,1,0;1,0,1,0"
2,3,"1,1,0,0;1,1,1,0;1,1,1,1",6,"0,0,1,1;0,1,0,1;1,0,0,1"
3,0,"0,1,0,0;0,1,1,0;1,0,1,0",1,"0,1,0,0;0,1,1,0;1,0,1,0"
4,5,"1,1,0,0;1,1,1,0;1,1,1,1",3,"1,1,0,0;1,1,1,0;1,1,1,1"
5,7,"0,0,1,1;0,1,0,1;1,0,0,1",4,"1,1,0,0;1,1,1,0;1,1,1,1"
6,20,"0,0,0,1;0,1,1,1",2,"0,1,0,0;0,1,1,0;1,0,1,0"
7,2,"0,1,0,0;0,1,1,0;1,0,1,0",5,"1,1,0,0;1,1,1,0;1,1,1,1"
8,21,"0,0,0,0;1,0,1,1",7,"0,0,1,1;0,1,0,1;1,0,0,1"
9,10,"0,0,1,0",8,"0,0,1,1;0,1,0,1;1,0,0,1"
10,16,"1,0,0,0",9,"0,0,1,0"
11,13,"1,1,0,1",10,"0,0,1,0"
12,17,"1,0,0,0",12,"1,1,0,1"
13,15,"1,0,0,0",11,"0,0,1,0"
14,19,"0,0,0,1;0,1,1,1",13,"1,1,0,1"
15,12,"1,1,0,1",14,"1,1,0,1"
16,6,"0,0,1,1;0,1,0,1;1,0,0,1",15,"1,0,0,0"
17,14,"1,1,0,1",16,"1,0,0,0"
18,1,"0,1,0,0;0,1,1,0;1,0,1,0",18,"0,0,0,1;0,1,1,1"
19,22,"0,0,0,0;1,0,1,1",17,"1,0,0,0"
20,8,"0,0,1,1;0,1,0,1;1,0,0,1",19,"0,0,0,1;0,1,1,1"
