step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,25,"1,1,1,1",6,"0,1,0,1;1,0,0,0;1,0,0,1"
2,5,"0,0,1,1;0,1,1,0",21,"0,0,0,0;1,1,1,0"
3,0,"0,1,1,1;1,0,1,1;1,1,0,1",7,"0,1,0,1;1,0,0,0;1,0,0,1"
4,11,"0,1,0,0;1,1,0,0",0,"0,1,1,1;1,0,1,1;1,1,0,1"
5,7,"0,1,0,1;1,0,0,0;1,0,0,1",18,"1,0,1,0"
6,20,"1,0,1,0",1,"0,1,1,1;1,0,1,1;1,1,0,1"
7,26,"1,1,1,1",8,"0,1,0,1;1,0,0,0;1,0,0,1"
8,13,"0,0,0,1",15,"0,0,1,0"
9,8,"0,1,0,1;1,0,0,0;1,0,0,1",16,"0,0,1,0"
10,21,"0,0,0,0;1,1,1,0",3,"0,0,1,1;0,1,1,0"
11,9,"0,1,0,0;1,1,0,0",4,"0,0,1,1;0,1,1,0"
12,19,"1,0,1,0",5,"0,0,1,1;0,1,1,0"
13,24,"1,1,1,1",12,"0,0,0,1"
14,22,"0,0,0,0;1,1,1,0",13,"0,0,0,1"
15,6,"0,1,0,1;1,0,0,0;1,0,0,1",14,"0,0,0,1"
16,10,"0,1,0,0;1,1,0,0",17,"0,0,1,0"
17,4,"0,0,1,1;0,1,1,0",9,"0,1,0,0;1,1,0,0"
18,16,"0,0,1,0",10,"0,1,0,0;1,1,0,0"
19,14,"0,0,0,1",19,"1,0,1,0"
20,3,"0,0,1,1;0,1,1,0",20,"1,0,1,0"
