step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,0,"0,1,1,0;1,0,1,1;1,1,0,1",3,"0,0,0,0;1,1,0,0;1,1,1,0"
2,5,"0,0,0,0;1,1,0,0;1,1,1,0",0,"0,1,1,0;1,0,1,1;1,1,0,1"
3,13,"0,1,1,1;1,0,1,0;1,1,1,1",1,"0,1,1,0;1,0,1,1;1,1,0,1"
4,1,"0,1,1,0;1,0,1,1;1,1,0,1",2,"0,1,1,0;1,0,1,1;1,1,0,1"
5,2,"0,1,1,0;1,0,1,1;1,1,0,1",4,"0,0,0,0;1,1,0,0;1,1,1,0"
6,10,"0,0,0,1;0,0,1,1",6,"0,1,0,0;1,0,0,0;1,0,0,1"
7,11,"0,0,0,1;0,0,1,1",7,"0,1,0,0;1,0,0,0;1,0,0,1"
8,6,"0,1,0,0;1,0,0,0;1,0,0,1",12,"0,1,1,1;1,0,1,0;1,1,1,1"
9,3,"0,0,0,0;1,1,0,0;1,1,1,0",5,"0,0,0,0;1,1,0,0;1,1,1,0"
10,15,"0,0,1,0;0,1,0,1",8,"0,1,0,0;1,0,0,0;1,0,0,1"
11,16,"0,0,1,0;0,1,0,1",9,"0,0,0,1;0,0,1,1"
12,17,"0,0,1,0;0,1,0,1",10,"0,0,0,1;0,0,1,1"
13,4,"0,0,0,0;1,1,0,0;1,1,1,0",13,"0,1,1,1;1,0,1,0;1,1,1,1"
14,12,"0,1,1,1;1,0,1,0;1,1,1,1",11,"0,0,0,1;0,0,1,1"
15,7,"0,1,0,0;1,0,0,0;1,0,0,1",14,"0,1,1,1;1,0,1,0;1,1,1,1"
16,14,"0,1,1,1;1,0,1,0;1,1,1,1",15,"0,0,1,0;0,1,0,1"
17,8,"0,1,0,0;1,0,0,0;1,0,0,1",16,"0,0,1,0;0,1,0,1"
18,9,"0,0,0,1;0,0,1,1",17,"0,0,1,0;0,1,0,1"
