step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,20,"0,0,1,0;0,0,1,1;1,1,0,1",18,"0,0,1,0;0,0,1,1;1,1,0,1"
2,3,"1,0,0,1;1,0,1,1",12,"0,0,0,1;0,1,1,0"
3,18,"0,0,1,0;0,0,1,1;1,1,0,1",0,"1,1,0,0"
4,14,"0,0,0,1;0,1,1,0",1,"1,1,0,0"
5,4,"1,0,0,1;1,0,1,1",9,"0,1,0,0;0,1,0,1"
6,0,"1,1,0,0",6,"1,1,1,0"
7,26,"0,0,0,0",2,"1,1,0,0"
8,6,"1,1,1,0",7,"1,1,1,0"
9,22,"1,0,0,0",3,"1,0,0,1;1,0,1,1"
10,15,"0,1,1,1;1,0,1,0;1,1,1,1",4,"1,0,0,1;1,0,1,1"
11,7,"1,1,1,0",5,"1,0,0,1;1,0,1,1"
12,12,"0,0,0,1;0,1,1,0",8,"1,1,1,0"
13,8,"1,1,1,0",10,"0,1,0,0;0,1,0,1"
14,9,"0,1,0,0;0,1,0,1",15,"0,1,1,1;1,0,1,0;1,1,1,1"
15,16,"0,1,1,1;1,0,1,0;1,1,1,1",11,"0,1,0,0;0,1,0,1"
16,13,"0,0,0,1;0,1,1,0",13,"0,0,0,1;0,1,1,0"
17,11,"0,1,0,0;0,1,0,1",14,"0,0,0,1;0,1,1,0"
18,19,"0,0,1,0;0,0,1,1;1,1,0,1",16,"0,1,1,1;1,0,1,0;1,1,1,1"
19,2,"1,1,0,0",17,"0,1,1,1;1,0,1,0;1,1,1,1"
20,24,"0,0,0,0",19,"0,0,1,0;0,0,1,1;1,1,0,1"
