step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,4,"1,0,0,1",18,"0,0,0,0;0,1,0,1;1,1,1,0"
2,0,"0,0,1,1;1,1,0,1",15,"0,1,1,0;0,1,1,1"
3,19,"0,0,0,0;0,1,0,1;1,1,1,0",0,"0,0,1,1;1,1,0,1"
4,24,"0,0,0,1",1,"0,0,1,1;1,1,0,1"
5,18,"0,0,0,0;0,1,0,1;1,1,1,0",6,"0,1,0,0;1,1,1,1"
6,23,"1,0,0,0;1,0,1,0;1,1,0,0",2,"0,0,1,1;1,1,0,1"
7,21,"1,0,0,0;1,0,1,0;1,1,0,0",7,"0,1,0,0;1,1,1,1"
8,3,"1,0,0,1",3,"1,0,0,1"
9,17,"0,1,1,0;0,1,1,1",8,"0,1,0,0;1,1,1,1"
10,1,"0,0,1,1;1,1,0,1",4,"1,0,0,1"
11,7,"0,1,0,0;1,1,1,1",9,"0,0,1,0"
12,26,"0,0,0,1",10,"0,0,1,0"
13,6,"0,1,0,0;1,1,1,1",11,"0,0,1,0"
14,20,"0,0,0,0;0,1,0,1;1,1,1,0",16,"0,1,1,0;0,1,1,1"
15,22,"1,0,0,0;1,0,1,0;1,1,0,0",5,"1,0,0,1"
16,15,"0,1,1,0;0,1,1,1",17,"0,1,1,0;0,1,1,1"
17,5,"1,0,0,1",19,"0,0,0,0;0,1,0,1;1,1,1,0"
18,9,"0,0,1,0",12,"1,0,1,1"
19,10,"0,0,1,0",20,"0,0,0,0;0,1,0,1;1,1,1,0"
20,12,"1,0,1,1",13,"1,0,1,1"
