step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,5,"1,0,1,1",0,"0,0,1,1;0,1,1,0;1,1,0,1"
2,9,"0,1,1,1;1,0,1,0",24,"0,1,0,0;1,1,1,0"
3,22,"1,1,1,1",1,"0,0,1,1;0,1,1,0;1,1,0,1"
4,21,"1,1,1,1",2,"0,0,1,1;0,1,1,0;1,1,0,1"
5,20,"0,0,1,0",6,"0,1,0,1"
6,13,"0,0,0,1;1,1,0,0",3,"1,0,1,1"
7,19,"0,0,1,0",4,"1,0,1,1"
8,14,"0,0,0,1;1,1,0,0",7,"0,1,0,1"
9,2,"0,0,1,1;0,1,1,0;1,1,0,1",8,"0,1,0,1"
10,11,"0,1,1,1;1,0,1,0",9,"0,1,1,1;1,0,1,0"
11,0,"0,0,1,1;0,1,1,0;1,1,0,1",12,"0,0,0,1;1,1,0,0"
12,26,"0,1,0,0;1,1,1,0",10,"0,1,1,1;1,0,1,0"
13,12,"0,0,0,1;1,1,0,0",11,"0,1,1,1;1,0,1,0"
14,10,"0,1,1,1;1,0,1,0",13,"0,0,0,1;1,1,0,0"
15,4,"1,0,1,1",14,"0,0,0,1;1,1,0,0"
16,25,"0,1,0,0;1,1,1,0",18,"0,0,1,0"
17,6,"0,1,0,1",19,"0,0,1,0"
18,7,"0,1,0,1",15,"0,0,0,0;1,0,0,0;1,0,0,1"
19,8,"0,1,0,1",16,"0,0,0,0;1,0,0,0;1,0,0,1"
20,23,"1,1,1,1",20,"0,0,1,0"
