step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"1,1,0,0;1,1,1,0","1,1,0,0;1,1,1,0"
2,"0,0,1,0;0,1,1,1","0,1,0,0;1,0,1,0"
3,"0,1,0,1;0,1,1,0","0,1,0,1;0,1,1,0"
4,"0,0,1,1;1,1,1,1","0,0,0,1;1,1,0,1"
5,"0,1,0,0;1,0,1,0","1,1,0,0;1,1,1,0"
6,"0,1,0,1;0,1,1,0","1,1,0,0;1,1,1,0"
7,"0,1,0,1;0,1,1,0","0,0,0,1;1,1,0,1"
8,"0,0,0,1;1,1,0,1","1,1,0,0;1,1,1,0"
9,"0,0,0,1;1,1,0,1","1,1,0,0;1,1,1,0"
10,"1,1,0,0;1,1,1,0","1,1,0,0;1,1,1,0"
11,"0,0,0,1;1,1,0,1","1,1,0,0;1,1,1,0"
12,"0,0,1,0;0,1,1,1","1,1,0,0;1,1,1,0"
13,"0,0,1,0;0,1,1,1","0,0,0,0;1,0,0,1"
14,"0,0,0,1;1,1,0,1","1,1,0,0;1,1,1,0"
15,"0,1,0,0;1,0,1,0","1,1,0,0;1,1,1,0"
16,"0,0,0,0;1,0,0,1","1,0,0,0;1,0,1,1"
17,"0,0,0,1;1,1,0,1","0,0,0,0;1,0,0,1"
18,"1,1,0,0;1,1,1,0","0,0,0,0;1,0,0,1"
19,"1,0,0,0;1,0,1,1","0,0,0,0;1,0,0,1"
20,"0,1,0,0;1,0,1,0","0,0,0,0;1,0,0,1"
21,"1,0,0,0;1,0,1,1","0,0,0,0;1,0,0,1"
22,"0,0,1,0;0,1,1,1","0,0,0,0;1,0,0,1"
23,"1,0,0,0;1,0,1,1","1,0,0,0;1,0,1,1"
24,"0,0,0,1;1,1,0,1","0,0,0,0;1,0,0,1"
25,"0,0,1,1;1,1,1,1","1,0,0,0;1,0,1,1"
26,"0,0,1,1;1,1,1,1","0,0,0,0;1,0,0,1"
27,"0,0,1,1;1,1,1,1","1,0,0,0;1,0,1,1"
28,"0,0,1,0;0,1,1,1","0,0,0,0;1,0,0,1"
29,"0,1,0,1;0,1,1,0","1,0,0,0;1,0,1,1"
30,"0,1,0,0;1,0,1,0","1,0,0,0;1,0,1,1"
31,"0,0,1,1;1,1,1,1","1,0,0,0;1,0,1,1"
32,"1,0,0,0;1,0,1,1","1,0,0,0;1,0,1,1"
33,"1,1,0,0;1,1,1,0","1,0,0,0;1,0,1,1"
34,"1,0,0,0;1,0,1,1","1,0,0,0;1,0,1,1"
35,"0,1,0,0;1,0,1,0","0,0,0,1;1,1,0,1"
36,"0,1,0,1;0,1,1,0","0,0,0,1;1,1,0,1"
37,"0,0,0,0;1,0,0,1","0,0,0,1;1,1,0,1"
38,"0,0,0,1;1,1,0,1","0,0,0,1;1,1,0,1"
39,"0,0,1,0;0,1,1,1","0,0,0,1;1,1,0,1"
40,"0,0,0,0;1,0,0,1","0,0,0,1;1,1,0,1"
41,"0,0,1,1;1,1,1,1","0,0,1,1;1,1,1,1"
42,"0,0,1,0;0,1,1,1","0,0,0,1;1,1,0,1"
43,"0,0,1,1;1,1,1,1","0,0,1,1;1,1,1,1"
44,"1,1,0,0;1,1,1,0","0,0,0,1;1,1,0,1"
45,"0,0,1,1;1,1,1,1","0,0,1,1;1,1,1,1"
46,"0,0,0,0;1,0,0,1","0,0,1,1;1,1,1,1"
47,"1,1,0,0;1,1,1,0","0,0,1,1;1,1,1,1"
48,"1,1,0,0;1,1,1,0","0,0,1,1;1,1,1,1"
49,"0,0,0,0;1,0,0,1","0,0,1,1;1,1,1,1"
50,"1,0,0,0;1,0,1,1","0,0,1,1;1,1,1,1"
