step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"1,1,1,0","0,0,1,1;0,1,0,0;1,0,0,1"
2,"1,0,0,0;1,1,1,1","0,0,1,0;0,1,0,1;0,1,1,1"
3,"0,0,0,1;1,1,0,0;1,1,0,1","0,0,1,0;0,1,0,1;0,1,1,1"
4,"0,0,1,1;0,1,0,0;1,0,0,1","0,0,0,1;1,1,0,0;1,1,0,1"
5,"1,1,1,0","0,0,1,0;0,1,0,1;0,1,1,1"
6,"1,0,0,0;1,1,1,1","0,0,0,1;1,1,0,0;1,1,0,1"
7,"0,0,0,0","0,0,1,0;0,1,0,1;0,1,1,1"
8,"0,0,1,0;0,1,0,1;0,1,1,1","0,0,0,1;1,1,0,0;1,1,0,1"
9,"0,0,1,0;0,1,0,1;0,1,1,1","0,0,1,0;0,1,0,1;0,1,1,1"
10,"0,0,0,0","0,0,0,1;1,1,0,0;1,1,0,1"
11,"1,1,1,0","0,0,1,0;0,1,0,1;0,1,1,1"
12,"1,0,1,0;1,0,1,1","0,0,0,1;1,1,0,0;1,1,0,1"
13,"0,1,1,0","0,0,1,0;0,1,0,1;0,1,1,1"
14,"0,1,1,0","0,0,0,1;1,1,0,0;1,1,0,1"
15,"1,1,1,0","0,0,1,0;0,1,0,1;0,1,1,1"
16,"0,0,1,0;0,1,0,1;0,1,1,1","0,0,0,1;1,1,0,0;1,1,0,1"
17,"1,0,0,0;1,1,1,1","0,0,1,0;0,1,0,1;0,1,1,1"
18,"0,0,0,0","0,0,0,1;1,1,0,0;1,1,0,1"
19,"1,0,0,0;1,1,1,1","0,0,1,0;0,1,0,1;0,1,1,1"
20,"1,1,1,0","0,0,0,1;1,1,0,0;1,1,0,1"
21,"0,0,0,1;1,1,0,0;1,1,0,1","0,1,1,0"
22,"0,0,1,0;0,1,0,1;0,1,1,1","0,0,0,1;1,1,0,0;1,1,0,1"
23,"0,0,0,0","0,1,1,0"
24,"0,0,0,1;1,1,0,0;1,1,0,1","1,0,1,0;1,0,1,1"
25,"0,0,1,0;0,1,0,1;0,1,1,1","0,1,1,0"
26,"1,1,1,0","1,0,1,0;1,0,1,1"
27,"0,0,0,0","0,1,1,0"
28,"0,0,0,1;1,1,0,0;1,1,0,1","1,0,1,0;1,0,1,1"
29,"1,1,1,0","0,1,1,0"
30,"1,0,1,0;1,0,1,1","1,0,1,0;1,0,1,1"
31,"0,0,0,1;1,1,0,0;1,1,0,1","0,1,1,0"
32,"1,0,1,0;1,0,1,1","1,0,1,0;1,0,1,1"
33,"1,0,0,0;1,1,1,1","0,1,1,0"
34,"0,1,1,0","1,0,1,0;1,0,1,1"
35,"1,0,1,0;1,0,1,1","0,1,1,0"
36,"1,0,1,0;1,0,1,1","1,0,1,0;1,0,1,1"
37,"0,0,0,0","0,1,1,0"
38,"1,0,1,0;1,0,1,1","1,0,1,0;1,0,1,1"
39,"0,0,1,1;0,1,0,0;1,0,0,1","0,1,1,0"
40,"0,0,1,1;0,1,0,0;1,0,0,1","1,0,1,0;1,0,1,1"
41,"0,0,0,0","0,0,0,0"
42,"0,1,1,0","1,0,1,0;1,0,1,1"
43,"0,1,1,0","0,0,0,0"
44,"0,0,1,1;0,1,0,0;1,0,0,1","1,0,0,0;1,1,1,1"
45,"0,1,1,0","0,0,0,0"
46,"0,0,1,1;0,1,0,0;1,0,0,1","1,0,0,0;1,1,1,1"
47,"0,0,1,0;0,1,0,1;0,1,1,1","0,0,0,0"
48,"0,1,1,0","1,0,0,0;1,1,1,1"
49,"1,0,0,0;1,1,1,1","0,0,0,0"
50,"1,1,1,0","1,0,0,0;1,1,1,1"
