step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,0,1,1;1,1,0,1","0,1,1,0;1,1,0,0"
2,"0,0,0,0;0,1,0,1","0,0,1,1;1,1,0,1"
3,"0,0,1,0;0,1,0,0","0,0,0,0;0,1,0,1"
4,"0,1,1,0;1,1,0,0","0,1,1,0;1,1,0,0"
5,"1,0,0,1;1,0,1,1","0,1,1,0;1,1,0,0"
6,"1,0,0,1;1,0,1,1","0,1,1,0;1,1,0,0"
7,"1,0,1,0;1,1,1,1","0,1,1,0;1,1,0,0"
8,"0,1,1,0;1,1,0,0","0,0,0,0;0,1,0,1"
9,"0,1,1,0;1,1,0,0","0,1,1,0;1,1,0,0"
10,"1,0,0,1;1,0,1,1","0,1,1,0;1,1,0,0"
11,"0,0,1,1;1,1,0,1","0,0,0,0;0,1,0,1"
12,"0,0,1,0;0,1,0,0","0,1,1,0;1,1,0,0"
13,"0,1,1,0;1,1,0,0","0,1,1,0;1,1,0,0"
14,"1,0,1,0;1,1,1,1","0,0,0,0;0,1,0,1"
15,"1,0,0,0;1,1,1,0","0,1,1,0;1,1,0,0"
16,"0,0,1,1;1,1,0,1","0,0,0,0;0,1,0,1"
17,"0,0,0,1;0,1,1,1","0,0,0,0;0,1,0,1"
18,"1,0,1,0;1,1,1,1","0,0,0,0;0,1,0,1"
19,"1,0,0,0;1,1,1,0","0,0,0,0;0,1,0,1"
20,"1,0,0,0;1,1,1,0","0,0,0,0;0,1,0,1"
21,"0,1,1,0;1,1,0,0","1,0,1,0;1,1,1,1"
22,"0,0,0,0;0,1,0,1","0,0,0,0;0,1,0,1"
23,"1,0,1,0;1,1,1,1","1,0,1,0;1,1,1,1"
24,"0,1,1,0;1,1,0,0","1,0,1,0;1,1,1,1"
25,"1,0,1,0;1,1,1,1","1,0,1,0;1,1,1,1"
26,"0,0,1,1;1,1,0,1","1,0,1,0;1,1,1,1"
27,"0,0,0,1;0,1,1,1","1,0,1,0;1,1,1,1"
28,"1,0,0,0;1,1,1,0","1,0,1,0;1,1,1,1"
29,"1,0,0,1;1,0,1,1","1,0,1,0;1,1,1,1"
30,"0,0,1,1;1,1,0,1","1,0,1,0;1,1,1,1"
31,"0,1,1,0;1,1,0,0","1,0,1,0;1,1,1,1"
32,"1,0,1,0;1,1,1,1","0,0,1,1;1,1,0,1"
33,"1,0,0,0;1,1,1,0","0,0,1,0;0,1,0,0"
34,"0,0,0,0;0,1,0,1","0,0,1,1;1,1,0,1"
35,"0,1,1,0;1,1,0,0","0,0,1,0;0,1,0,0"
36,"1,0,1,0;1,1,1,1","0,0,1,1;1,1,0,1"
37,"0,1,1,0;1,1,0,0","0,0,1,0;0,1,0,0"
38,"0,0,0,1;0,1,1,1","0,0,1,1;1,1,0,1"
39,"0,0,0,1;0,1,1,1","0,0,1,0;0,1,0,0"
40,"0,0,0,1;0,1,1,1","0,0,1,1;1,1,0,1"
41,"0,1,1,0;1,1,0,0","0,0,1,0;0,1,0,0"
42,"0,0,1,0;0,1,0,0","0,0,1,1;1,1,0,1"
43,"0,0,0,1;0,1,1,1","0,0,1,0;0,1,0,0"
44,"1,0,0,0;1,1,1,0","0,0,1,1;1,1,0,1"
45,"1,0,1,0;1,1,1,1","0,0,1,0;0,1,0,0"
46,"0,0,0,1;0,1,1,1","0,0,1,1;1,1,0,1"
47,"1,0,0,0;1,1,1,0","0,0,1,0;0,1,0,0"
48,"1,0,0,1;1,0,1,1","0,0,1,1;1,1,0,1"
49,"0,0,1,0;0,1,0,0","0,0,1,0;0,1,0,0"
50,"1,0,0,1;1,0,1,1","0,0,0,1;0,1,1,1"
