step,rs_random,rs_greedy
0,64512,64512
1,1600,1408
2,704,352
3,704,200
4,200,192
5,200,184
6,200,184
7,200,184
8,200,184
9,200,184
10,200,184
11,200,184
12,200,184
13,200,184
14,200,184
15,200,184
16,200,184
17,200,184
18,184,200
19,184,200
20,184,200
21,200,200
22,200,200
23,200,200
24,200,200
25,200,200
26,200,192
27,200,192
28,200,192
29,200,192
30,200,192
31,200,192
32,200,192
33,200,192
34,200,192
35,200,192
36,192,192
37,192,192
38,192,192
39,192,192
40,200,192
41,200,192
42,192,192
43,192,192
44,192,192
45,192,192
46,192,192
47,192,192
48,192,192
49,192,192
50,192,192
