step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,1,0,1;1,1,0,0","0,0,1,0;0,1,0,0;1,0,1,1"
2,"0,0,1,0;0,1,0,0;1,0,1,1","0,0,0,1;0,0,1,1"
3,"0,0,1,0;0,1,0,0;1,0,1,1","0,0,1,0;0,1,0,0;1,0,1,1"
4,"0,0,0,1;0,0,1,1","0,0,1,0;0,1,0,0;1,0,1,1"
5,"0,0,0,1;0,0,1,1","0,0,1,0;0,1,0,0;1,0,1,1"
6,"0,1,1,1;1,0,0,1;1,1,1,1","0,0,1,0;0,1,0,0;1,0,1,1"
7,"0,1,0,1;1,1,0,0","0,0,1,0;0,1,0,0;1,0,1,1"
8,"0,1,1,0;1,0,0,0;1,1,0,1","0,0,1,0;0,1,0,0;1,0,1,1"
9,"0,0,0,0;1,0,1,0;1,1,1,0","0,0,1,0;0,1,0,0;1,0,1,1"
10,"0,0,1,0;0,1,0,0;1,0,1,1","0,0,1,0;0,1,0,0;1,0,1,1"
11,"0,0,0,1;0,0,1,1","0,0,1,0;0,1,0,0;1,0,1,1"
12,"0,0,0,0;1,0,1,0;1,1,1,0","0,0,0,0;1,0,1,0;1,1,1,0"
13,"0,0,0,0;1,0,1,0;1,1,1,0","0,0,0,0;1,0,1,0;1,1,1,0"
14,"0,0,0,1;0,0,1,1","0,0,0,1;0,0,1,1"
15,"0,1,1,1;1,0,0,1;1,1,1,1","0,0,0,0;1,0,1,0;1,1,1,0"
16,"0,1,0,1;1,1,0,0","0,0,0,0;1,0,1,0;1,1,1,0"
17,"0,0,0,0;1,0,1,0;1,1,1,0","0,1,1,1;1,0,0,1;1,1,1,1"
18,"0,1,1,1;1,0,0,1;1,1,1,1","0,0,0,0;1,0,1,0;1,1,1,0"
19,"0,1,0,1;1,1,0,0","0,0,0,1;0,0,1,1"
20,"0,1,1,1;1,0,0,1;1,1,1,1","0,0,0,0;1,0,1,0;1,1,1,0"
21,"0,1,1,1;1,0,0,1;1,1,1,1","0,0,0,0;1,0,1,0;1,1,1,0"
22,"0,1,0,1;1,1,0,0","0,1,1,1;1,0,0,1;1,1,1,1"
23,"0,0,0,0;1,0,1,0;1,1,1,0","0,0,0,0;1,0,1,0;1,1,1,0"
24,"0,1,1,0;1,0,0,0;1,1,0,1","0,0,0,1;0,0,1,1"
25,"0,1,0,1;1,1,0,0","0,0,0,0;1,0,1,0;1,1,1,0"
26,"0,0,0,0;1,0,1,0;1,1,1,0","0,0,0,0;1,0,1,0;1,1,1,0"
27,"0,1,1,1;1,0,0,1;1,1,1,1","0,1,1,1;1,0,0,1;1,1,1,1"
28,"0,0,0,1;0,0,1,1","0,0,0,1;0,0,1,1"
29,"0,0,1,0;0,1,0,0;1,0,1,1","0,1,1,1;1,0,0,1;1,1,1,1"
30,"0,1,0,1;1,1,0,0","0,0,0,1;0,0,1,1"
31,"0,1,1,0;1,0,0,0;1,1,0,1","0,1,1,1;1,0,0,1;1,1,1,1"
32,"0,1,1,0;1,0,0,0;1,1,0,1","0,0,0,1;0,0,1,1"
33,"0,0,0,1;0,0,1,1","0,1,1,1;1,0,0,1;1,1,1,1"
34,"0,0,0,0;1,0,1,0;1,1,1,0","0,0,0,1;0,0,1,1"
35,"0,1,1,1;1,0,0,1;1,1,1,1","0,1,1,1;1,0,0,1;1,1,1,1"
36,"0,1,1,0;1,0,0,0;1,1,0,1","0,0,0,1;0,0,1,1"
37,"0,1,1,0;1,0,0,0;1,1,0,1","0,1,1,1;1,0,0,1;1,1,1,1"
38,"0,1,1,1;1,0,0,1;1,1,1,1","0,0,0,1;0,0,1,1"
39,"0,1,1,0;1,0,0,0;1,1,0,1","0,1,1,1;1,0,0,1;1,1,1,1"
40,"0,1,1,0;1,0,0,0;1,1,0,1","0,1,1,0;1,0,0,0;1,1,0,1"
41,"0,0,0,1;0,0,1,1","0,1,1,0;1,0,0,0;1,1,0,1"
42,"0,0,1,0;0,1,0,0;1,0,1,1","0,1,1,0;1,0,0,0;1,1,0,1"
43,"0,1,1,1;1,0,0,1;1,1,1,1","0,1,1,0;1,0,0,0;1,1,0,1"
44,"0,0,0,0;1,0,1,0;1,1,1,0","0,1,1,0;1,0,0,0;1,1,0,1"
45,"0,0,0,1;0,0,1,1","0,1,1,0;1,0,0,0;1,1,0,1"
46,"0,1,1,1;1,0,0,1;1,1,1,1","0,1,1,0;1,0,0,0;1,1,0,1"
47,"0,0,0,0;1,0,1,0;1,1,1,0","0,1,1,0;1,0,0,0;1,1,0,1"
48,"0,0,0,1;0,0,1,1","0,1,1,0;1,0,0,0;1,1,0,1"
49,"0,0,1,0;0,1,0,0;1,0,1,1","0,1,1,0;1,0,0,0;1,1,0,1"
50,"0,0,1,0;0,1,0,0;1,0,1,1","0,1,0,1;1,1,0,0"
