step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,0,1,0;0,0,1,1","0,1,1,1;1,1,0,1"
2,"0,1,1,0;1,0,0,0","0,1,1,0;1,0,0,0"
3,"0,1,1,1;1,1,0,1","1,0,0,1;1,0,1,0"
4,"0,1,1,0;1,0,0,0","0,1,1,1;1,1,0,1"
5,"0,1,0,0;1,1,1,1","1,0,0,1;1,0,1,0"
6,"0,1,1,0;1,0,0,0","0,1,1,1;1,1,0,1"
7,"0,0,1,0;0,0,1,1","1,0,0,1;1,0,1,0"
8,"1,0,0,1;1,0,1,0","0,1,1,1;1,1,0,1"
9,"0,0,1,0;0,0,1,1","1,0,0,1;1,0,1,0"
10,"1,0,0,1;1,0,1,0","0,1,1,1;1,1,0,1"
11,"0,1,0,1;1,1,1,0","1,0,0,1;1,0,1,0"
12,"0,1,0,0;1,1,1,1","0,1,1,1;1,1,0,1"
13,"0,1,0,1;1,1,1,0","1,0,0,1;1,0,1,0"
14,"0,1,1,1;1,1,0,1","0,1,1,1;1,1,0,1"
15,"0,1,0,0;1,1,1,1","1,0,0,1;1,0,1,0"
16,"1,0,0,1;1,0,1,0","0,1,1,1;1,1,0,1"
17,"0,0,0,0;0,0,0,1","1,0,0,1;1,0,1,0"
18,"0,0,1,0;0,0,1,1","0,1,1,1;1,1,0,1"
19,"1,0,1,1;1,1,0,0","1,0,0,1;1,0,1,0"
20,"1,0,0,1;1,0,1,0","0,1,1,1;1,1,0,1"
21,"1,0,1,1;1,1,0,0","1,0,0,1;1,0,1,0"
22,"0,1,0,1;1,1,1,0","1,0,1,1;1,1,0,0"
23,"0,1,1,1;1,1,0,1","1,0,1,1;1,1,0,0"
24,"0,1,0,0;1,1,1,1","1,0,1,1;1,1,0,0"
25,"0,0,0,0;0,0,0,1","1,0,1,1;1,1,0,0"
26,"1,0,1,1;1,1,0,0","1,0,1,1;1,1,0,0"
27,"0,1,0,0;1,1,1,1","1,0,1,1;1,1,0,0"
28,"0,1,0,1;1,1,1,0","1,0,1,1;1,1,0,0"
29,"0,0,0,0;0,0,0,1","1,0,1,1;1,1,0,0"
30,"0,1,1,0;1,0,0,0","1,0,1,1;1,1,0,0"
31,"0,1,0,1;1,1,1,0","1,0,1,1;1,1,0,0"
32,"1,0,1,1;1,1,0,0","0,1,1,0;1,0,0,0"
33,"1,0,1,1;1,1,0,0","0,1,1,0;1,0,0,0"
34,"0,1,1,1;1,1,0,1","0,1,1,0;1,0,0,0"
35,"0,0,1,0;0,0,1,1","0,1,1,0;1,0,0,0"
36,"0,0,1,0;0,0,1,1","0,1,1,0;1,0,0,0"
37,"1,0,0,1;1,0,1,0","0,1,1,0;1,0,0,0"
38,"0,0,1,0;0,0,1,1","0,1,1,0;1,0,0,0"
39,"1,0,0,1;1,0,1,0","0,1,1,0;1,0,0,0"
40,"1,0,1,1;1,1,0,0","0,1,1,0;1,0,0,0"
41,"1,0,1,1;1,1,0,0","0,0,0,0;0,0,0,1"
42,"0,1,1,0;1,0,0,0","0,0,0,0;0,0,0,1"
43,"0,0,0,0;0,0,0,1","0,0,0,0;0,0,0,1"
44,"0,1,0,0;1,1,1,1","0,0,0,0;0,0,0,1"
45,"0,0,1,0;0,0,1,1","0,0,0,0;0,0,0,1"
46,"0,0,0,0;0,0,0,1","0,0,0,0;0,0,0,1"
47,"0,1,0,1;1,1,1,0","0,0,0,0;0,0,0,1"
48,"0,0,1,0;0,0,1,1","0,0,0,0;0,0,0,1"
49,"0,1,1,0;1,0,0,0","0,0,0,0;0,0,0,1"
50,"1,0,1,1;1,1,0,0","0,1,0,1;1,1,1,0"
