step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,1,0,0;1,1,0,1","0,0,0,1;0,0,1,0;1,0,0,1"
2,"0,0,0,0","0,1,0,1;0,1,1,0;0,1,1,1"
3,"1,0,0,0","1,1,1,0"
4,"1,0,1,0;1,1,1,1","1,1,1,0"
5,"0,0,0,0","1,0,0,0"
6,"0,0,0,0","0,0,0,1;0,0,1,0;1,0,0,1"
7,"0,0,1,1;1,0,1,1;1,1,0,0","1,1,1,0"
8,"1,0,0,0","0,0,0,1;0,0,1,0;1,0,0,1"
9,"0,1,0,0;1,1,0,1","1,1,1,0"
10,"0,1,0,0;1,1,0,1","1,0,0,0"
11,"0,1,0,0;1,1,0,1","1,0,0,0"
12,"1,0,0,0","1,0,0,0"
13,"0,0,0,1;0,0,1,0;1,0,0,1","1,0,0,0"
14,"0,0,0,1;0,0,1,0;1,0,0,1","1,0,0,0"
15,"0,1,0,0;1,1,0,1","1,0,0,0"
16,"0,1,0,1;0,1,1,0;0,1,1,1","1,0,0,0"
17,"0,1,0,0;1,1,0,1","1,0,0,0"
18,"1,1,1,0","1,0,0,0"
19,"1,0,0,0","0,0,0,1;0,0,1,0;1,0,0,1"
20,"1,1,1,0","1,1,1,0"
21,"1,0,1,0;1,1,1,1","1,1,1,0"
22,"0,1,0,1;0,1,1,0;0,1,1,1","0,0,0,1;0,0,1,0;1,0,0,1"
23,"0,1,0,0;1,1,0,1","1,1,1,0"
24,"1,0,1,0;1,1,1,1","1,1,1,0"
25,"0,0,0,0","0,0,0,1;0,0,1,0;1,0,0,1"
26,"1,1,1,0","1,1,1,0"
27,"0,0,0,0","1,1,1,0"
28,"1,0,1,0;1,1,1,1","0,0,0,1;0,0,1,0;1,0,0,1"
29,"1,0,1,0;1,1,1,1","0,0,0,1;0,0,1,0;1,0,0,1"
30,"0,0,0,1;0,0,1,0;1,0,0,1","0,0,0,1;0,0,1,0;1,0,0,1"
31,"0,0,0,1;0,0,1,0;1,0,0,1","0,0,0,1;0,0,1,0;1,0,0,1"
32,"1,0,0,0","0,0,0,0"
33,"0,0,1,1;1,0,1,1;1,1,0,0","0,0,0,0"
34,"1,0,1,0;1,1,1,1","0,0,0,0"
35,"1,1,1,0","0,0,0,0"
36,"1,0,0,0","0,0,0,0"
37,"0,0,1,1;1,0,1,1;1,1,0,0","0,0,0,0"
38,"1,0,1,0;1,1,1,1","0,0,0,0"
39,"0,0,0,0","0,0,0,0"
40,"1,1,1,0","0,0,0,0"
41,"1,1,1,0","0,0,0,0"
42,"0,1,0,1;0,1,1,0;0,1,1,1","0,1,0,0;1,1,0,1"
43,"0,0,1,1;1,0,1,1;1,1,0,0","0,1,0,0;1,1,0,1"
44,"0,1,0,1;0,1,1,0;0,1,1,1","0,1,0,0;1,1,0,1"
45,"1,0,0,0","0,1,0,0;1,1,0,1"
46,"0,1,0,0;1,1,0,1","1,0,1,0;1,1,1,1"
47,"1,0,0,0","1,0,1,0;1,1,1,1"
48,"0,0,1,1;1,0,1,1;1,1,0,0","0,1,0,0;1,1,0,1"
49,"1,0,1,0;1,1,1,1","1,0,1,0;1,1,1,1"
50,"0,0,1,1;1,0,1,1;1,1,0,0","1,0,1,0;1,1,1,1"
