step,rs_random,rs_greedy
0,64512,64512
1,2816,800
2,1472,184
3,1472,184
4,704,184
5,704,184
6,704,184
7,400,184
8,200,184
9,200,184
10,200,184
11,200,184
12,200,184
13,200,184
14,200,184
15,200,184
16,200,184
17,200,184
18,200,184
19,184,184
20,200,184
21,184,184
22,184,184
23,184,184
24,184,184
25,184,184
26,184,184
27,184,184
28,184,184
29,184,184
30,184,184
31,184,184
32,184,184
33,184,184
34,184,184
35,184,184
36,184,184
37,184,184
38,184,184
39,200,184
40,200,184
41,200,184
42,200,184
43,200,184
44,200,184
45,200,184
46,200,184
47,200,184
48,200,184
49,200,184
50,200,184
