step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,0,0,0;0,0,0,0","0,0,0,1;1,0,1,1"
2,"0,1,0,1;1,0,1,1","0,1,0,0;1,0,1,0"
3,"1,0,0,1;1,0,0,0","1,0,0,1;1,0,0,0"
4,"0,1,0,0;1,0,1,0","0,0,0,0;0,0,0,0"
5,"0,0,0,1;1,0,1,1","1,1,0,0;1,0,0,0"
6,"1,1,0,0;1,0,0,0","1,1,1,0;0,0,1,1"
7,"0,0,0,1;1,1,0,1","0,1,0,1;1,0,1,1"
8,"0,1,1,1;0,1,1,0","1,0,0,1;1,1,1,1"
9,"0,1,0,1;1,1,0,1","0,1,1,1;0,1,1,0"
10,"1,1,1,0;0,0,1,1","1,1,1,0;0,0,1,0"
11,"1,0,0,1;1,1,1,1","0,0,0,1;1,1,0,1"
12,"1,1,1,0;0,0,1,0","0,1,0,1;1,1,0,1"
