step,rs_random,rs_greedy
0,64512,64512
1,1408,1408
2,416,352
3,184,192
4,176,184
5,192,184
6,184,184
7,184,184
8,184,184
9,184,184
10,184,184
11,184,184
12,184,184
13,184,184
14,184,184
15,184,184
16,184,184
17,184,184
18,184,184
19,184,184
20,184,184
21,184,184
22,184,184
23,184,184
24,192,184
25,200,184
26,200,184
27,200,184
28,200,184
29,200,184
30,200,184
31,200,184
32,200,184
33,200,184
34,200,184
35,192,184
36,192,184
37,200,184
38,200,184
39,200,184
40,200,184
41,200,184
42,200,184
43,200,184
44,200,184
45,200,184
46,200,184
47,200,184
48,192,184
49,200,184
50,200,184
