step,rs_random,rs_greedy
0,64512,64512
1,1472,704
2,384,176
3,368,176
4,368,176
5,368,176
6,368,176
7,192,176
8,192,176
9,192,176
10,192,176
11,184,176
12,184,176
13,184,176
14,184,176
15,184,176
16,184,176
17,184,184
18,184,184
19,184,184
20,184,184
21,184,184
22,184,184
23,184,184
24,184,184
25,184,184
26,184,184
27,184,184
28,184,184
29,184,184
30,184,184
31,184,184
32,184,184
33,184,184
34,184,184
35,184,184
36,184,184
37,184,184
38,184,184
39,184,184
40,184,184
41,184,184
42,184,184
43,184,184
44,184,184
45,184,184
46,184,184
47,184,184
48,192,184
49,184,184
50,184,184
