step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,0,0,0;1,0,0,0","0,0,0,1;0,0,1,0;1,0,1,1"
2,"1,1,1,0","0,1,0,0;0,1,1,0"
3,"1,1,1,1","0,1,0,1;1,1,0,1"
4,"1,0,0,1;1,0,1,0;1,1,0,0","0,1,0,1;1,1,0,1"
5,"1,0,0,1;1,0,1,0;1,1,0,0","0,0,0,1;0,0,1,0;1,0,1,1"
6,"0,0,0,0;1,0,0,0","0,0,0,1;0,0,1,0;1,0,1,1"
7,"1,1,1,0","0,0,0,1;0,0,1,0;1,0,1,1"
8,"0,0,1,1;0,1,1,1","0,0,0,1;0,0,1,0;1,0,1,1"
9,"0,0,0,1;0,0,1,0;1,0,1,1","0,0,0,1;0,0,1,0;1,0,1,1"
10,"1,1,1,0","0,0,0,1;0,0,1,0;1,0,1,1"
11,"0,0,1,1;0,1,1,1","0,1,0,1;1,1,0,1"
12,"0,0,1,1;0,1,1,1","0,0,0,1;0,0,1,0;1,0,1,1"
13,"0,0,1,1;0,1,1,1","0,0,0,1;0,0,1,0;1,0,1,1"
14,"0,0,0,0;1,0,0,0","0,1,0,1;1,1,0,1"
15,"1,0,0,1;1,0,1,0;1,1,0,0","0,0,0,1;0,0,1,0;1,0,1,1"
16,"0,0,0,1;0,0,1,0;1,0,1,1","1,1,1,1"
17,"0,0,1,1;0,1,1,1","0,0,0,0;1,0,0,0"
18,"0,0,0,0;1,0,0,0","0,1,0,1;1,1,0,1"
19,"0,1,0,0;0,1,1,0","0,0,0,0;1,0,0,0"
20,"0,0,0,1;0,0,1,0;1,0,1,1","0,1,0,1;1,1,0,1"
21,"0,1,0,1;1,1,0,1","0,0,0,0;1,0,0,0"
22,"0,0,0,0;1,0,0,0","0,1,0,1;1,1,0,1"
23,"1,1,1,1","0,0,0,0;1,0,0,0"
24,"0,0,0,1;0,0,1,0;1,0,1,1","0,1,0,1;1,1,0,1"
25,"1,1,1,1","0,0,0,0;1,0,0,0"
26,"0,1,0,0;0,1,1,0","0,1,0,1;1,1,0,1"
27,"1,1,1,0","0,0,0,0;1,0,0,0"
28,"0,1,0,0;0,1,1,0","1,1,1,1"
29,"0,1,0,0;0,1,1,0","1,1,1,1"
30,"1,1,1,1","0,0,0,0;1,0,0,0"
31,"1,0,0,1;1,0,1,0;1,1,0,0","1,1,1,1"
32,"0,0,0,1;0,0,1,0;1,0,1,1","1,1,1,1"
33,"0,0,1,1;0,1,1,1","0,0,0,0;1,0,0,0"
34,"0,1,0,1;1,1,0,1","1,1,1,1"
35,"1,1,1,0","1,1,1,1"
36,"1,1,1,0","0,0,0,0;1,0,0,0"
37,"1,1,1,1","1,1,1,1"
38,"0,0,0,0;1,0,0,0","1,1,1,1"
39,"1,1,1,0","0,0,0,0;1,0,0,0"
40,"0,1,0,0;0,1,1,0","1,1,1,1"
41,"0,1,0,1;1,1,0,1","1,0,0,1;1,0,1,0;1,1,0,0"
42,"0,0,1,1;0,1,1,1","1,0,0,1;1,0,1,0;1,1,0,0"
43,"0,1,0,1;1,1,0,1","1,0,0,1;1,0,1,0;1,1,0,0"
44,"0,0,0,1;0,0,1,0;1,0,1,1","1,0,0,1;1,0,1,0;1,1,0,0"
45,"1,0,0,1;1,0,1,0;1,1,0,0","1,0,0,1;1,0,1,0;1,1,0,0"
46,"0,0,0,1;0,0,1,0;1,0,1,1","1,0,0,1;1,0,1,0;1,1,0,0"
47,"0,1,0,0;0,1,1,0","1,0,0,1;1,0,1,0;1,1,0,0"
48,"0,0,1,1;0,1,1,1","1,0,0,1;1,0,1,0;1,1,0,0"
49,"0,0,0,1;0,0,1,0;1,0,1,1","1,0,0,1;1,0,1,0;1,1,0,0"
50,"1,0,0,1;1,0,1,0;1,1,0,0","1,0,0,1;1,0,1,0;1,1,0,0"
