step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,0,1,1;0,1,1,1","0,0,1,0;1,1,0,1"
2,"0,0,1,1;0,1,1,1","0,0,0,0;1,0,1,1"
3,"0,0,1,1;0,1,1,1","0,0,0,1;0,1,1,0"
4,"1,1,1,0;1,1,1,1","0,0,0,1;0,1,1,0"
5,"0,0,0,1;0,1,1,0","0,1,0,1;1,0,0,0"
6,"0,0,0,0;1,0,1,1","0,0,0,1;0,1,1,0"
7,"0,1,0,1;1,0,0,0","0,1,0,1;1,0,0,0"
8,"1,1,1,0;1,1,1,1","0,0,0,1;0,1,1,0"
9,"0,0,1,0;1,1,0,1","0,1,0,1;1,0,0,0"
10,"0,1,0,0;1,1,0,0","0,0,0,1;0,1,1,0"
11,"0,0,0,1;0,1,1,0","0,1,0,1;1,0,0,0"
12,"0,1,0,0;1,1,0,0","0,0,0,1;0,1,1,0"
13,"0,1,0,1;1,0,0,0","0,1,0,1;1,0,0,0"
14,"0,0,0,0;1,0,1,1","0,0,0,1;0,1,1,0"
15,"0,0,1,1;0,1,1,1","0,1,0,1;1,0,0,0"
16,"0,0,0,1;0,1,1,0","0,0,0,1;0,1,1,0"
17,"0,1,0,0;1,1,0,0","0,1,0,1;1,0,0,0"
18,"0,0,1,0;1,1,0,1","0,0,0,1;0,1,1,0"
19,"0,0,0,1;0,1,1,0","0,1,0,1;1,0,0,0"
20,"1,1,1,0;1,1,1,1","0,0,0,1;0,1,1,0"
21,"1,1,1,0;1,1,1,1","0,1,0,1;1,0,0,0"
22,"0,0,0,1;0,1,1,0","0,0,1,0;1,1,0,1"
23,"0,1,0,1;1,0,0,0","0,0,1,0;1,1,0,1"
24,"0,0,1,0;1,1,0,1","0,0,1,0;1,1,0,1"
25,"0,1,0,1;1,0,0,0","0,0,1,0;1,1,0,1"
26,"1,1,1,0;1,1,1,1","0,0,1,0;1,1,0,1"
27,"0,1,0,1;1,0,0,0","0,0,1,0;1,1,0,1"
28,"1,0,0,1;1,0,1,0","0,0,1,0;1,1,0,1"
29,"0,0,1,0;1,1,0,1","0,0,1,0;1,1,0,1"
30,"1,1,1,0;1,1,1,1","0,0,1,0;1,1,0,1"
31,"0,0,1,0;1,1,0,1","0,0,1,1;0,1,1,1"
32,"0,0,0,1;0,1,1,0","0,1,0,1;1,0,0,0"
33,"0,0,0,0;1,0,1,1","0,1,0,0;1,1,0,0"
34,"0,1,0,0;1,1,0,0","0,1,0,0;1,1,0,0"
35,"0,0,0,0;1,0,1,1","0,0,1,1;0,1,1,1"
36,"1,0,0,1;1,0,1,0","0,1,0,0;1,1,0,0"
37,"1,0,0,1;1,0,1,0","0,1,0,0;1,1,0,0"
38,"0,0,1,0;1,1,0,1","0,0,1,1;0,1,1,1"
39,"1,0,0,1;1,0,1,0","0,1,0,0;1,1,0,0"
40,"0,0,0,0;1,0,1,1","0,1,0,0;1,1,0,0"
41,"0,0,1,0;1,1,0,1","0,0,1,1;0,1,1,1"
42,"0,1,0,0;1,1,0,0","0,1,0,0;1,1,0,0"
43,"0,1,0,1;1,0,0,0","0,1,0,0;1,1,0,0"
44,"0,0,0,0;1,0,1,1","0,0,1,1;0,1,1,1"
45,"1,0,0,1;1,0,1,0","0,1,0,0;1,1,0,0"
46,"0,0,1,0;1,1,0,1","0,1,0,0;1,1,0,0"
47,"0,0,0,1;0,1,1,0","0,0,1,1;0,1,1,1"
48,"0,1,0,1;1,0,0,0","0,0,1,1;0,1,1,1"
49,"0,1,0,1;1,0,0,0","0,0,1,1;0,1,1,1"
50,"0,1,0,0;1,1,0,0","0,0,1,1;0,1,1,1"
