step,rs_random,rs_greedy
0,64512,64512
1,1472,1408
2,384,384
3,200,200
4,200,184
5,200,184
6,192,184
7,192,184
8,192,184
9,184,184
10,192,184
11,192,184
12,192,184
13,192,184
14,192,184
15,192,184
16,192,184
17,192,184
18,192,184
19,192,184
20,192,184
21,192,184
22,192,184
23,192,184
24,192,184
25,192,184
26,200,184
27,184,184
28,200,184
29,184,184
30,184,184
31,184,184
32,184,184
33,184,184
34,184,184
35,184,184
36,184,184
37,200,184
38,200,184
39,200,184
40,192,184
41,192,184
42,192,184
43,192,184
44,192,184
45,192,184
46,192,184
47,192,184
48,184,184
49,192,184
50,192,184
