step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,1,1,0;1,1,1,1","0,1,0,1;0,1,1,1;1,1,0,0"
2,"1,0,1,1;1,1,1,0","1,0,0,0;1,1,0,1"
3,"1,0,1,1;1,1,1,0","0,1,0,0"
4,"1,0,1,0","0,1,0,0"
5,"1,0,1,0","0,1,0,0"
6,"0,0,1,1","0,1,0,0"
7,"0,1,0,0","0,1,0,0"
8,"1,0,0,1","0,1,0,0"
9,"0,1,0,1;0,1,1,1;1,1,0,0","0,1,0,0"
10,"0,1,0,1;0,1,1,1;1,1,0,0","1,0,1,1;1,1,1,0"
11,"0,1,0,1;0,1,1,1;1,1,0,0","1,0,0,1"
12,"0,0,1,1","0,1,0,0"
13,"0,1,1,0;1,1,1,1","0,1,0,0"
14,"1,0,0,0;1,1,0,1","0,1,0,0"
15,"1,0,0,0;1,1,0,1","0,1,0,1;0,1,1,1;1,1,0,0"
16,"1,0,0,1","1,0,0,1"
17,"1,0,1,0","1,0,1,1;1,1,1,0"
18,"0,1,0,1;0,1,1,1;1,1,0,0","1,0,1,1;1,1,1,0"
19,"1,0,1,0","1,0,0,1"
20,"1,0,0,1","1,0,1,1;1,1,1,0"
21,"0,0,0,0","1,0,0,1"
22,"0,1,0,1;0,1,1,1;1,1,0,0","1,0,1,1;1,1,1,0"
23,"1,0,0,1","1,0,0,1"
24,"0,1,0,0","1,0,1,1;1,1,1,0"
25,"0,0,1,1","1,0,0,1"
26,"0,0,0,0","1,0,1,1;1,1,1,0"
27,"0,0,0,0","1,0,0,1"
28,"1,0,1,0","1,0,0,1"
29,"1,0,0,0;1,1,0,1","1,0,0,1"
30,"0,1,0,0","1,0,0,1"
31,"0,0,1,1","1,0,0,0;1,1,0,1"
32,"0,1,0,0","1,0,0,0;1,1,0,1"
33,"0,0,1,1","1,0,0,0;1,1,0,1"
34,"0,0,1,1","1,0,0,0;1,1,0,1"
35,"1,0,1,1;1,1,1,0","1,0,0,0;1,1,0,1"
36,"0,1,0,0","1,0,0,0;1,1,0,1"
37,"0,1,0,1;0,1,1,1;1,1,0,0","1,0,0,0;1,1,0,1"
38,"0,0,0,1;0,0,1,0","1,0,0,0;1,1,0,1"
39,"1,0,1,0","1,0,0,0;1,1,0,1"
40,"0,1,1,0;1,1,1,1","0,0,0,0"
41,"1,0,1,1;1,1,1,0","1,0,1,1;1,1,1,0"
42,"1,0,1,0","0,0,0,0"
43,"0,1,1,0;1,1,1,1","0,0,0,0"
44,"0,1,0,1;0,1,1,1;1,1,0,0","1,0,1,1;1,1,1,0"
45,"0,0,0,1;0,0,1,0","0,0,0,0"
46,"1,0,1,0","0,0,0,0"
47,"0,0,0,1;0,0,1,0","1,0,1,1;1,1,1,0"
48,"1,0,1,1;1,1,1,0","0,0,0,0"
49,"1,0,0,0;1,1,0,1","0,0,0,0"
50,"0,1,0,0","1,0,1,0"
