step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,0,1,1","0,0,0,0;1,1,0,0;1,1,1,0"
2,"0,0,1,1","1,0,1,1;1,1,0,1"
3,"1,1,1,1","0,1,1,1;1,0,1,0"
4,"0,0,0,1;0,1,0,0;0,1,1,0","0,1,1,1;1,0,1,0"
5,"1,0,1,1;1,1,0,1","0,0,0,0;1,1,0,0;1,1,1,0"
6,"1,0,1,1;1,1,0,1","0,1,1,1;1,0,1,0"
7,"0,0,0,1;0,1,0,0;0,1,1,0","1,0,0,1"
8,"1,0,1,1;1,1,0,1","0,1,1,1;1,0,1,0"
9,"1,1,1,1","0,0,0,0;1,1,0,0;1,1,1,0"
10,"1,1,1,1","0,1,1,1;1,0,1,0"
11,"1,0,0,1","1,0,0,1"
12,"1,1,1,1","0,1,1,1;1,0,1,0"
13,"0,0,0,1;0,1,0,0;0,1,1,0","0,0,0,0;1,1,0,0;1,1,1,0"
14,"0,0,0,0;1,1,0,0;1,1,1,0","0,1,1,1;1,0,1,0"
15,"1,0,0,1","1,0,0,1"
16,"0,1,1,1;1,0,1,0","0,1,1,1;1,0,1,0"
17,"0,0,1,0;0,1,0,1;1,0,0,0","0,0,0,0;1,1,0,0;1,1,1,0"
18,"0,0,0,0;1,1,0,0;1,1,1,0","0,1,1,1;1,0,1,0"
19,"1,1,1,1","1,0,0,1"
20,"1,0,0,1","0,1,1,1;1,0,1,0"
21,"0,0,0,0;1,1,0,0;1,1,1,0","0,0,0,0;1,1,0,0;1,1,1,0"
22,"1,0,1,1;1,1,0,1","1,0,0,1"
23,"0,0,0,1;0,1,0,0;0,1,1,0","0,0,0,0;1,1,0,0;1,1,1,0"
24,"0,0,1,1","1,0,0,1"
25,"0,1,1,1;1,0,1,0","0,0,0,0;1,1,0,0;1,1,1,0"
26,"0,0,1,1","1,0,0,1"
27,"0,1,1,1;1,0,1,0","0,0,0,0;1,1,0,0;1,1,1,0"
28,"0,0,1,1","1,0,0,1"
29,"1,0,1,1;1,1,0,1","0,0,0,0;1,1,0,0;1,1,1,0"
30,"0,0,1,0;0,1,0,1;1,0,0,0","1,0,0,1"
31,"0,0,0,0;1,1,0,0;1,1,1,0","1,0,0,1"
32,"0,0,1,1","0,0,1,0;0,1,0,1;1,0,0,0"
33,"0,1,1,1;1,0,1,0","0,0,1,0;0,1,0,1;1,0,0,0"
34,"1,0,0,1","0,0,1,1"
35,"1,0,0,1","0,0,1,1"
36,"0,1,1,1;1,0,1,0","0,0,1,1"
37,"0,1,1,1;1,0,1,0","0,0,1,1"
38,"0,0,0,1;0,1,0,0;0,1,1,0","0,0,1,1"
39,"0,0,0,1;0,1,0,0;0,1,1,0","0,0,1,1"
40,"1,0,0,1","0,0,1,1"
41,"1,0,0,1","0,0,1,1"
42,"0,0,0,1;0,1,0,0;0,1,1,0","0,0,1,1"
43,"1,0,0,1","0,0,1,0;0,1,0,1;1,0,0,0"
44,"0,0,1,0;0,1,0,1;1,0,0,0","0,0,1,0;0,1,0,1;1,0,0,0"
45,"0,0,0,0;1,1,0,0;1,1,1,0","0,0,1,0;0,1,0,1;1,0,0,0"
46,"0,1,1,1;1,0,1,0","0,0,1,0;0,1,0,1;1,0,0,0"
47,"0,0,1,1","0,0,1,0;0,1,0,1;1,0,0,0"
48,"1,1,1,1","0,0,1,0;0,1,0,1;1,0,0,0"
49,"0,0,1,0;0,1,0,1;1,0,0,0","0,0,1,0;0,1,0,1;1,0,0,0"
50,"0,0,0,0;1,1,0,0;1,1,1,0","0,0,1,0;0,1,0,1;1,0,0,0"
