step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,0,0,1;0,0,1,1;1,0,0,1","0,1,0,1;0,1,1,1;1,0,1,1"
2,"0,1,1,0","0,0,1,0;1,0,0,0"
3,"1,1,0,0","0,1,0,0"
4,"0,1,0,1;0,1,1,1;1,0,1,1","0,1,0,0"
5,"0,0,0,1;0,0,1,1;1,0,0,1","0,1,0,0"
6,"0,0,0,0","0,1,0,0"
7,"1,1,0,1;1,1,1,1","0,1,0,0"
8,"1,1,0,0","0,1,0,0"
9,"0,0,1,0;1,0,0,0","0,1,0,0"
10,"1,1,1,0","0,1,0,0"
11,"0,1,1,0","0,1,0,0"
12,"0,1,0,1;0,1,1,1;1,0,1,1","0,1,0,0"
13,"0,1,0,0","1,1,0,1;1,1,1,1"
14,"1,1,0,1;1,1,1,1","1,1,0,1;1,1,1,1"
15,"0,0,0,1;0,0,1,1;1,0,0,1","1,1,0,1;1,1,1,1"
16,"0,0,1,0;1,0,0,0","1,1,0,1;1,1,1,1"
17,"1,1,1,0","1,1,0,1;1,1,1,1"
18,"1,0,1,0","1,1,0,1;1,1,1,1"
19,"1,1,0,0","1,1,0,1;1,1,1,1"
20,"0,1,1,0","1,1,0,1;1,1,1,1"
21,"1,1,0,1;1,1,1,1","1,1,0,1;1,1,1,1"
22,"0,1,0,1;0,1,1,1;1,0,1,1","1,1,0,1;1,1,1,1"
23,"0,0,0,0","0,1,0,1;0,1,1,1;1,0,1,1"
24,"0,0,0,1;0,0,1,1;1,0,0,1","0,1,0,1;0,1,1,1;1,0,1,1"
25,"0,0,1,0;1,0,0,0","0,1,0,1;0,1,1,1;1,0,1,1"
26,"1,1,0,1;1,1,1,1","0,1,0,1;0,1,1,1;1,0,1,1"
27,"1,0,1,0","0,1,0,1;0,1,1,1;1,0,1,1"
28,"0,1,1,0","0,1,0,1;0,1,1,1;1,0,1,1"
29,"0,1,0,0","0,1,0,1;0,1,1,1;1,0,1,1"
30,"1,1,0,0","0,1,0,1;0,1,1,1;1,0,1,1"
31,"0,1,0,0","0,0,0,0"
32,"1,0,1,0","0,0,0,0"
33,"0,0,0,1;0,0,1,1;1,0,0,1","0,0,0,0"
34,"0,1,1,0","0,0,0,0"
35,"0,0,0,1;0,0,1,1;1,0,0,1","0,0,0,0"
36,"1,1,0,1;1,1,1,1","0,0,0,0"
37,"1,0,1,0","0,0,0,0"
38,"1,1,1,0","0,0,0,0"
39,"1,1,1,0","0,0,0,0"
40,"0,0,0,0","0,0,0,0"
41,"0,1,1,0","1,1,0,0"
42,"0,0,0,0","0,1,0,1;0,1,1,1;1,0,1,1"
43,"0,0,0,0","1,1,0,0"
44,"1,0,1,0","1,1,0,0"
45,"1,1,1,0","1,1,0,0"
46,"1,1,1,0","0,0,0,1;0,0,1,1;1,0,0,1"
47,"0,0,1,0;1,0,0,0","1,1,0,0"
48,"1,1,1,0","1,1,0,0"
49,"0,0,1,0;1,0,0,0","1,1,0,0"
50,"0,1,0,1;0,1,1,1;1,0,1,1","0,0,0,1;0,0,1,1;1,0,0,1"
