step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,0,0,0;1,0,0,0","0,1,1,0;1,1,0,0"
2,"0,0,0,0;1,0,0,0","0,0,1,1;1,1,0,1"
3,"1,0,1,1;1,1,1,1","0,0,1,0;0,1,0,1"
4,"0,0,1,0;0,1,0,1","0,0,1,1;1,1,0,1"
5,"0,0,0,0;1,0,0,0","0,0,1,0;0,1,0,1"
6,"0,1,0,0;1,0,0,1","0,0,1,1;1,1,0,1"
7,"1,0,1,0;1,1,1,0","0,1,0,0;1,0,0,1"
8,"0,1,0,0;1,0,0,1","0,0,1,0;0,1,0,1"
9,"0,0,0,0;1,0,0,0","0,0,1,1;1,1,0,1"
10,"0,0,0,1;0,1,1,1","0,1,0,0;1,0,0,1"
11,"0,1,1,0;1,1,0,0","0,0,1,0;0,1,0,1"
12,"0,0,0,1;0,1,1,1","0,0,1,1;1,1,0,1"
13,"0,1,1,0;1,1,0,0","0,1,0,0;1,0,0,1"
14,"1,0,1,0;1,1,1,0","0,0,1,0;0,1,0,1"
15,"0,0,0,1;0,1,1,1","0,0,1,1;1,1,0,1"
16,"0,1,1,0;1,1,0,0","0,1,0,0;1,0,0,1"
17,"0,1,0,0;1,0,0,1","0,0,1,0;0,1,0,1"
18,"0,0,1,1;1,1,0,1","0,0,1,1;1,1,0,1"
19,"1,0,1,1;1,1,1,1","0,1,0,0;1,0,0,1"
20,"0,0,0,0;1,0,0,0","0,0,1,0;0,1,0,1"
21,"0,0,1,1;1,1,0,1","0,0,1,1;1,1,0,1"
22,"1,0,1,1;1,1,1,1","0,1,0,0;1,0,0,1"
23,"0,0,0,0;1,0,0,0","0,0,1,0;0,1,0,1"
24,"0,0,0,1;0,1,1,1","0,0,1,1;1,1,0,1"
25,"0,1,0,0;1,0,0,1","0,1,0,0;1,0,0,1"
26,"0,1,1,0;1,1,0,0","0,0,1,0;0,1,0,1"
27,"0,0,0,0;1,0,0,0","0,0,1,1;1,1,0,1"
28,"1,0,1,1;1,1,1,1","0,1,0,0;1,0,0,1"
29,"0,1,0,0;1,0,0,1","0,0,1,0;0,1,0,1"
30,"0,0,0,1;0,1,1,1","0,1,0,0;1,0,0,1"
31,"0,1,0,0;1,0,0,1","0,1,1,0;1,1,0,0"
32,"1,0,1,0;1,1,1,0","0,1,1,0;1,1,0,0"
33,"0,0,1,1;1,1,0,1","0,1,1,0;1,1,0,0"
34,"1,0,1,1;1,1,1,1","0,1,1,0;1,1,0,0"
35,"0,1,0,0;1,0,0,1","0,1,1,0;1,1,0,0"
36,"0,1,0,0;1,0,0,1","0,1,1,0;1,1,0,0"
37,"0,1,1,0;1,1,0,0","0,1,1,0;1,1,0,0"
38,"0,0,0,1;0,1,1,1","0,1,1,0;1,1,0,0"
39,"1,0,1,0;1,1,1,0","0,1,1,0;1,1,0,0"
40,"0,0,1,1;1,1,0,1","1,0,1,1;1,1,1,1"
41,"0,0,0,0;1,0,0,0","0,1,0,0;1,0,0,1"
42,"1,0,1,1;1,1,1,1","1,0,1,1;1,1,1,1"
43,"1,0,1,0;1,1,1,0","1,0,1,1;1,1,1,1"
44,"1,0,1,0;1,1,1,0","1,0,1,1;1,1,1,1"
45,"0,1,1,0;1,1,0,0","1,0,1,1;1,1,1,1"
46,"1,0,1,1;1,1,1,1","1,0,1,1;1,1,1,1"
47,"0,0,1,0;0,1,0,1","1,0,1,1;1,1,1,1"
48,"0,0,0,0;1,0,0,0","1,0,1,1;1,1,1,1"
49,"1,0,1,0;1,1,1,0","1,0,1,1;1,1,1,1"
50,"0,1,0,0;1,0,0,1","1,0,1,0;1,1,1,0"
