step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,0,0,0;1,1,0,1","0,1,0,0;1,1,0,0"
2,"0,1,0,1;1,0,1,1","1,1,1,0;1,1,1,1"
3,"0,0,1,1;0,1,1,1","1,0,0,1;1,0,1,0"
4,"0,0,0,1;1,0,0,0","0,1,0,0;1,1,0,0"
5,"0,1,0,0;1,1,0,0","1,0,0,1;1,0,1,0"
6,"0,1,0,0;1,1,0,0","0,1,0,0;1,1,0,0"
7,"0,0,0,0;1,1,0,1","1,0,0,1;1,0,1,0"
8,"0,0,0,1;1,0,0,0","0,1,0,0;1,1,0,0"
9,"0,0,0,0;1,1,0,1","1,0,0,1;1,0,1,0"
10,"0,0,1,0;0,1,1,0","0,1,0,0;1,1,0,0"
11,"0,0,1,0;0,1,1,0","1,0,0,1;1,0,1,0"
12,"0,0,0,1;1,0,0,0","0,1,0,0;1,1,0,0"
13,"0,1,0,0;1,1,0,0","1,0,0,1;1,0,1,0"
14,"1,0,0,1;1,0,1,0","0,1,0,0;1,1,0,0"
15,"0,0,1,1;0,1,1,1","1,0,0,1;1,0,1,0"
16,"0,0,1,1;0,1,1,1","0,1,0,0;1,1,0,0"
17,"1,1,1,0;1,1,1,1","1,0,0,1;1,0,1,0"
18,"0,1,0,1;1,0,1,1","0,1,0,0;1,1,0,0"
19,"0,0,0,0;1,1,0,1","1,0,0,1;1,0,1,0"
20,"1,0,0,1;1,0,1,0","0,1,0,0;1,1,0,0"
21,"0,0,1,1;0,1,1,1","1,0,0,1;1,0,1,0"
22,"1,0,0,1;1,0,1,0","0,0,0,0;1,1,0,1"
23,"1,0,0,1;1,0,1,0","0,0,0,0;1,1,0,1"
24,"0,1,0,1;1,0,1,1","0,1,0,1;1,0,1,1"
25,"0,0,1,0;0,1,1,0","0,1,0,1;1,0,1,1"
26,"0,0,0,0;1,1,0,1","0,1,0,1;1,0,1,1"
27,"0,0,1,0;0,1,1,0","0,1,0,1;1,0,1,1"
28,"0,0,1,0;0,1,1,0","0,1,0,1;1,0,1,1"
29,"1,0,0,1;1,0,1,0","0,1,0,1;1,0,1,1"
30,"0,0,1,0;0,1,1,0","0,1,0,1;1,0,1,1"
31,"0,1,0,1;1,0,1,1","0,1,0,1;1,0,1,1"
32,"0,0,1,1;0,1,1,1","0,1,0,1;1,0,1,1"
33,"1,1,1,0;1,1,1,1","0,1,0,1;1,0,1,1"
34,"0,1,0,0;1,1,0,0","0,0,1,1;0,1,1,1"
35,"0,0,0,0;1,1,0,1","0,0,1,1;0,1,1,1"
36,"0,1,0,0;1,1,0,0","0,0,1,1;0,1,1,1"
37,"0,0,0,0;1,1,0,1","0,0,1,1;0,1,1,1"
38,"0,1,0,0;1,1,0,0","0,0,1,1;0,1,1,1"
39,"0,0,0,0;1,1,0,1","1,1,1,0;1,1,1,1"
40,"1,0,0,1;1,0,1,0","0,0,0,0;1,1,0,1"
41,"0,0,1,0;0,1,1,0","0,0,0,0;1,1,0,1"
42,"0,0,0,1;1,0,0,0","1,1,1,0;1,1,1,1"
43,"0,1,0,1;1,0,1,1","0,0,0,0;1,1,0,1"
44,"1,0,0,1;1,0,1,0","0,0,0,0;1,1,0,1"
45,"1,1,1,0;1,1,1,1","0,0,1,1;0,1,1,1"
46,"0,1,0,1;1,0,1,1","1,1,1,0;1,1,1,1"
47,"0,0,1,1;0,1,1,1","0,0,0,0;1,1,0,1"
48,"0,0,1,1;0,1,1,1","0,0,0,0;1,1,0,1"
49,"0,0,0,1;1,0,0,0","1,1,1,0;1,1,1,1"
50,"0,0,0,0;1,1,0,1","0,0,0,0;1,1,0,1"
