step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"1,0,1,0;1,0,0,1","0,0,1,0;1,0,0,0"
2,"0,0,0,0;1,1,1,0","0,0,1,1;1,1,0,1"
3,"1,0,0,1;1,1,0,1","1,0,1,0;1,0,0,1"
4,"1,1,0,0;0,1,0,0","1,0,0,1;1,1,0,1"
5,"1,0,1,1;0,1,0,1","1,1,1,1;1,1,1,0"
6,"0,0,1,1;1,1,0,1","0,0,0,0;1,1,1,0"
7,"1,1,1,1;1,1,1,0","1,0,0,0;0,0,0,1"
8,"0,0,1,0;1,0,0,0","1,0,1,1;0,1,0,1"
9,"1,0,0,0;0,0,0,1","1,1,0,0;0,1,0,0"
10,"0,0,0,0;0,0,0,1","0,1,1,1;1,0,1,1"
11,"0,1,1,0;0,1,0,1","0,1,1,0;0,1,0,1"
12,"0,1,1,1;1,0,1,1","0,0,0,0;0,0,0,1"
