step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,0,1,0;1,1,0,0","1,1,0,1;1,1,1,1"
2,"0,0,0,0;1,1,1,0","0,1,1,1;1,0,1,1"
3,"0,0,0,0;1,1,1,0","0,0,1,1;0,1,1,0"
4,"0,0,1,1;0,1,1,0","1,1,0,1;1,1,1,1"
5,"0,1,0,1;1,0,0,0","1,1,0,1;1,1,1,1"
6,"0,0,1,0;1,1,0,0","1,1,0,1;1,1,1,1"
7,"0,0,0,1;1,0,1,0","0,1,1,1;1,0,1,1"
8,"1,1,0,1;1,1,1,1","1,1,0,1;1,1,1,1"
9,"0,1,0,0;1,0,0,1","0,1,1,1;1,0,1,1"
10,"0,0,0,1;1,0,1,0","1,1,0,1;1,1,1,1"
11,"1,1,0,1;1,1,1,1","1,1,0,1;1,1,1,1"
12,"0,0,0,1;1,0,1,0","0,1,1,1;1,0,1,1"
13,"0,1,0,1;1,0,0,0","1,1,0,1;1,1,1,1"
14,"0,0,0,1;1,0,1,0","0,1,1,1;1,0,1,1"
15,"0,0,1,0;1,1,0,0","1,1,0,1;1,1,1,1"
16,"0,0,1,1;0,1,1,0","1,1,0,1;1,1,1,1"
17,"0,1,1,1;1,0,1,1","0,1,1,1;1,0,1,1"
18,"0,0,0,1;1,0,1,0","0,1,1,1;1,0,1,1"
19,"1,1,0,1;1,1,1,1","0,1,1,1;1,0,1,1"
20,"0,0,1,1;0,1,1,0","0,1,1,1;1,0,1,1"
21,"0,0,0,0;1,1,1,0","0,1,1,1;1,0,1,1"
22,"0,0,1,0;1,1,0,0","0,0,1,1;0,1,1,0"
23,"0,1,0,0;1,0,0,1","0,0,1,1;0,1,1,0"
24,"0,0,0,1;1,0,1,0","0,0,1,1;0,1,1,0"
25,"0,0,1,0;1,1,0,0","0,0,1,1;0,1,1,0"
26,"0,0,0,0;1,1,1,0","0,0,1,1;0,1,1,0"
27,"0,0,1,1;0,1,1,0","0,0,1,1;0,1,1,0"
28,"0,0,0,0;1,1,1,0","0,0,1,1;0,1,1,0"
29,"1,1,0,1;1,1,1,1","0,0,1,1;0,1,1,0"
30,"0,1,1,1;1,0,1,1","0,0,1,0;1,1,0,0"
31,"0,1,0,1;1,0,0,0","0,0,1,1;0,1,1,0"
32,"0,0,1,1;0,1,1,0","0,0,0,1;1,0,1,0"
33,"0,1,1,1;1,0,1,1","0,0,0,1;1,0,1,0"
34,"0,0,1,0;1,1,0,0","0,0,0,1;1,0,1,0"
35,"1,1,0,1;1,1,1,1","0,0,0,1;1,0,1,0"
36,"0,0,1,1;0,1,1,0","0,0,0,1;1,0,1,0"
37,"0,1,1,1;1,0,1,1","0,0,0,1;1,0,1,0"
38,"0,0,1,0;1,1,0,0","0,0,0,1;1,0,1,0"
39,"0,1,0,0;1,0,0,1","0,0,0,1;1,0,1,0"
40,"0,1,0,0;1,0,0,1","0,0,0,1;1,0,1,0"
41,"0,0,0,1;1,0,1,0","0,0,0,1;1,0,1,0"
42,"0,1,1,1;1,0,1,1","0,0,1,0;1,1,0,0"
43,"0,0,1,1;0,1,1,0","0,1,0,1;1,0,0,0"
44,"0,1,0,1;1,0,0,0","0,0,1,0;1,1,0,0"
45,"0,0,1,1;0,1,1,0","0,1,0,1;1,0,0,0"
46,"0,0,1,0;1,1,0,0","0,0,1,0;1,1,0,0"
47,"0,0,1,1;0,1,1,0","0,1,0,1;1,0,0,0"
48,"0,1,1,1;1,0,1,1","0,0,1,0;1,1,0,0"
49,"1,1,0,1;1,1,1,1","0,1,0,1;1,0,0,0"
50,"0,1,1,1;1,0,1,1","0,0,1,0;1,1,0,0"
