step,rs_random,rs_greedy
0,64512,64512
1,1536,1408
2,400,336
3,416,184
4,416,184
5,192,184
6,200,184
7,192,184
8,192,184
9,192,184
10,192,184
11,192,184
12,192,184
13,192,184
14,192,184
15,192,184
16,192,184
17,192,184
18,192,184
19,192,184
20,192,184
21,192,184
22,192,184
23,192,184
24,192,184
25,192,184
26,192,184
27,192,184
28,192,184
29,192,184
30,200,184
31,184,184
32,184,184
33,184,184
34,184,184
35,192,184
36,192,184
37,192,184
38,192,184
39,192,184
40,192,184
41,192,184
42,192,184
43,192,184
44,192,184
45,192,184
46,184,184
47,192,184
48,192,184
49,192,184
50,192,184
