step,rs_random,rs_greedy
0,64512,64512
1,1536,1472
2,1536,352
3,1536,184
4,384,184
5,192,184
6,192,184
7,200,184
8,192,184
9,192,184
10,192,184
11,184,184
12,184,184
13,184,184
14,184,184
15,184,184
16,184,184
17,184,184
18,184,184
19,184,184
20,184,184
21,184,184
22,184,184
23,184,184
24,184,184
25,184,184
26,184,184
27,184,184
28,184,184
29,184,184
30,184,184
31,184,184
32,184,184
33,184,184
34,184,184
35,184,184
36,184,184
37,184,184
38,184,184
39,184,184
40,192,184
41,192,184
42,184,184
43,184,184
44,200,184
45,200,184
46,200,184
47,200,184
48,192,184
49,192,184
50,192,184
