step,rs_random,rs_greedy
0,64512,64512
1,1408,1408
2,1408,368
3,400,184
4,416,184
5,416,184
6,192,184
7,192,184
8,184,184
9,200,184
10,184,184
11,184,184
12,184,184
13,184,184
14,184,184
15,184,184
16,184,184
17,184,184
18,184,184
19,184,184
20,184,184
21,184,184
22,200,184
23,192,184
24,200,184
25,200,184
26,200,184
27,200,184
28,200,184
29,200,184
30,200,184
31,200,184
32,200,184
33,200,184
34,192,184
35,192,184
36,184,184
37,184,184
38,184,184
39,192,184
40,192,184
41,192,184
42,184,184
43,184,184
44,184,184
45,192,184
46,192,184
47,192,184
48,192,184
49,192,184
50,192,184
