step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"1,0,1,0;0,1,0,1","0,0,0,1;0,1,0,1"
2,"1,1,0,1;1,0,1,1","1,1,1,0;1,0,0,0"
3,"0,0,1,1;1,1,1,0","0,0,1,0;0,1,1,1"
4,"0,0,1,0;0,1,1,1","1,1,1,1;0,0,0,0"
5,"1,0,0,1;0,1,0,0","0,0,0,1;0,0,0,0"
6,"1,1,0,0;1,0,1,1","1,0,1,0;0,1,0,1"
7,"1,1,1,0;1,0,0,0","0,1,1,0;1,0,0,0"
8,"0,1,1,0;1,0,0,0","1,0,0,1;0,1,0,0"
9,"0,0,0,1;0,1,0,1","0,0,1,1;1,1,1,0"
10,"1,0,0,1;1,1,0,1","1,0,0,1;1,1,0,1"
11,"0,0,0,1;0,0,0,0","1,1,0,1;1,0,1,1"
12,"1,1,1,1;0,0,0,0","1,1,0,0;1,0,1,1"
